bug_report_id,bug_report_desc,bug_report_time
HAL-1602,"Attempting to add an access log, HTTP invoke or Single Sign On resource when the host is not selected host under {{subsystem=undertow/server=default-server/}} via the web console fails with:
{code}
Failed to add singleton resource Access Log, cause: ""WFLYCTL0175: Resource [ (\""subsystem\"" => \""undertow\""), (\""server\"" => \""default-server\""), (\""host\"" => \""_blank\"") ] does not exist; a resource at address [ (\""subsystem\"" => \""undertow\""), (\""server\"" => \""default-server\""), (\""host\"" => \""_blank\""), (\""setting\"" => \""access-log\"") ] cannot be created until all ancestor resources have been added""
{code}

Once selected, then deselected the ""Add"" button is no longer an option so the resource an't be attempted to be added on a non-selected host.",2019/05/31 11:47 AM
HAL-1584,"Using HAL in domain mode to get jms queue detail, the error
""WFLYCTL0030: NO resource definition is registered for address""

1- When trying to obtain all reqiurces of a queue through CLI, it works fine:

/host=mohameds-mbp.t-mobile.com/server=server-one/subsystem=messaging-activemq/server=default/jms-queue=DLQ:read-resource(include-runtime=true, recursive=true)
{
    ""outcome"" => ""success"",
    ""result"" => {
        ""consumer-count"" => 0,
        ""dead-letter-address"" => ""jms.queue.DLQ"",
        ""delivering-count"" => 0,
        ""durable"" => true,
        ""entries"" => [""java:/jms/queue/DLQ""],
        ""expiry-address"" => ""jms.queue.ExpiryQueue"",
        ""legacy-entries"" => undefined,
        ""message-count"" => 0L,
        ""messages-added"" => 0L,
        ""paused"" => false,
        ""queue-address"" => ""jms.queue.DLQ"",
        ""scheduled-count"" => 0L,
        ""selector"" => undefined,
        ""temporary"" => false
    }
}

2- When doing the same in standalone mode, no error is shown in HAL",2019/04/29 11:45 AM
HAL-1583,"Management Console says to close the tab to logout, but closing the browser is needed so the pop up needs to say to close the browser.",2019/04/16 5:10 AM
HAL-1582,Console for domain mode has server-group missing some operations.  It looks like Remove is missing as well as Copy.,2019/04/15 2:06 PM
HAL-1581,"Management console throws below error when accessing JMS queues in domain mode.

 Runtime -> Host-> JMS-Server -> Messaging -> default -> DLQ

{code:java}
""WFLYCTL0030: No resource definition is registered for address [
    (\""subsystem\"" => \""messaging-activemq\""),
    (\""server\"" => \""default\""),
    (\""jms-queue\"" => \""DLQ\"")
]""
{code}

Attached screen-shot.

Note:- This issue does not occur if you access the queues deployed on the domain controller. It only occurs for the remote host.


",2019/04/15 10:39 AM
HAL-1579,The bootstrap switch control is broken in add and modify resource dialogs. Seems that this was introduced when switching from Yarn to NPM.,2019/04/12 3:46 AM
HAL-1570,The datasource-class attribute is set when the wizard finishes regardless if the user explicitly set the attribute. The datasource-class limits driver functionality and should only be explicitly set by the user.,2019/02/27 8:06 AM
HAL-1564,"With HAL-1557 in place, the management operations in domain mode have been moved to the ""Browse By"" column. However there's still a second ""Management Operations"" item in the ""Monitor"" column of a running server. This item must be removed in domain mode. ",2019/02/04 6:07 PM
HAL-1552,"""Omit read operations"" does not work.
""Open in editor"" does not work.
Macro recording causes internal errors",2018/11/26 9:21 AM
HAL-1551,"Set the ""SmallRye"" subtitle for microprofile-health-smallrye subsystem on configuration and runtime column.",2018/11/19 2:40 PM
HAL-1546,"In the runtime view of elytron key-store, in the ""Aliases"" sub-view, there is a ""obtain"" button that uses an already created alias, but this is wrong. The ""obtain"" command should ask for a new alias, so the retrieved certificated obtained from LetsEncrypt should be placed in a new alias.

The change is to move the ""Obtain"" button from the ""Aliases"" sub-view to the Key Store table (parent view) and make the ""alias"" attribute writable.",2018/11/07 7:34 AM
HAL-1539,"There is a bug in VerticalNavigation when {{navigation.insertPrimary}} is used to insert a panel before a specific id, there is a NPE. If the beforeId is not specified it works.

{code}
navigation.insertPrimary(primId, ""msg-remote-external-queue-item"", Names.POOLED_CONNECTION_FACTORY, pfIcon(""replicator""), htmlSection);
{code}",2018/10/19 12:38 PM
HAL-1526,"When attempting to roll back a patch in the console, the ""Reset Configuration"" field gives an error that it is required (though it is by default set to OFF). You can work around this by flipping it to ON and then OFF again. 

But this might make some users think that they need to set it to ON. We have a warning in the patching and upgrading guide telling users to use caution when setting this option.

If we want users to explicitly say ON or OFF for this field, as opposed to just taking a default of OFF, then maybe we should consider a different way of presenting this option in the wizard.",2018/09/27 1:57 PM
HAL-1520,"If a form contains read-only attributes and ModelBrowser is used for navigation, the attribute value is not displayed in the form of the child panel.

The community forum that reported the problem
https://developer.jboss.org/message/985106",2018/09/12 7:01 PM
HAL-1519,"There is an effort to unify wording of HAL deployment operations wording with CLI _deployment_ command wording. Actually, the HAL _Remove_ deployment operation is not unified with CLI _deploument undeploy_ command.
Feel free to move this issue if you think this is CLI problem.",2018/09/12 8:45 AM
HAL-1515,"In JCA configuration, in distributed work manager ""add"" dialog, the ""name"" field is read-only, it should be writable, otherwise a new resource cannot be added.",2018/08/31 9:59 AM
HAL-1514,"There were [several changes to Messaging subsystem|https://github.com/wildfly/wildfly/pull/11604], the user now is required to add path=* subsresources in addition to the server in a composite operation. If there is no server, the path=* subresources are optional. Previously the user was able to add additional servers with no path=* subresources, although the additional server would not work, because they would conflict with the default path=* used by the existing server.",2018/08/30 2:10 PM
HAL-1513,"In EAP 7.1, in standalone mode, deployments were enabled by default (the enabled checkbox is checked). In EAP 7.2, deployments are not enabled by default (the enabled field is set to OFF).

Should this default to enabled so that the behavior is consistent between 7.1 and 7.2?",2018/08/29 10:37 PM
