bug_report_id,file_diff_id
HAL-1602,174
HAL-1602,116
HAL-1602,175
HAL-1602,176
HAL-1602,60
HAL-1602,111
HAL-1602,94
HAL-1584,246
HAL-1584,247
HAL-1584,248
HAL-1584,93
HAL-1584,94
HAL-1583,18
HAL-1583,95
HAL-1583,98
HAL-1583,162
HAL-1583,151
HAL-1583,152
HAL-1583,94
HAL-1582,227
HAL-1582,71
HAL-1582,23
HAL-1582,19
HAL-1582,96
HAL-1582,93
HAL-1582,109
HAL-1582,100
HAL-1582,94
HAL-1581,246
HAL-1581,247
HAL-1581,248
HAL-1581,93
HAL-1581,94
HAL-1579,99
HAL-1579,192
HAL-1579,159
HAL-1570,80
HAL-1570,143
HAL-1564,208
HAL-1564,5
HAL-1564,249
HAL-1564,250
HAL-1564,251
HAL-1564,252
HAL-1564,50
HAL-1564,119
HAL-1564,109
HAL-1564,111
HAL-1564,94
HAL-1564,112
HAL-1564,134
HAL-1564,253
HAL-1552,213
HAL-1552,102
HAL-1552,95
HAL-1552,254
HAL-1552,255
HAL-1552,256
HAL-1552,257
HAL-1552,187
HAL-1552,258
HAL-1552,259
HAL-1552,133
HAL-1552,260
HAL-1552,261
HAL-1552,262
HAL-1552,263
HAL-1552,100
HAL-1552,111
HAL-1551,44
HAL-1551,264
HAL-1551,265
HAL-1551,266
HAL-1551,267
HAL-1551,122
HAL-1551,123
HAL-1551,37
HAL-1551,109
HAL-1551,46
HAL-1551,111
HAL-1551,112
HAL-1551,134
HAL-1551,268
HAL-1546,269
HAL-1546,270
HAL-1546,271
HAL-1546,272
HAL-1546,273
HAL-1546,109
HAL-1546,100
HAL-1546,94
HAL-1539,44
HAL-1539,127
HAL-1539,128
HAL-1539,129
HAL-1539,130
HAL-1539,131
HAL-1539,132
HAL-1539,133
HAL-1539,109
HAL-1539,46
HAL-1539,100
HAL-1539,111
HAL-1539,112
HAL-1539,134
HAL-1539,135
HAL-1526,274
HAL-1526,275
HAL-1526,276
HAL-1526,40
HAL-1526,277
HAL-1526,278
HAL-1526,279
HAL-1526,280
HAL-1526,100
HAL-1526,94
HAL-1520,281
HAL-1520,51
HAL-1520,101
HAL-1519,44
HAL-1519,65
HAL-1519,282
HAL-1519,81
HAL-1519,33
HAL-1519,283
HAL-1519,284
HAL-1519,111
HAL-1515,285
HAL-1514,160
HAL-1514,286
HAL-1514,287
HAL-1514,288
HAL-1513,289
HAL-1513,65
HAL-1513,81
HAL-1513,283
HAL-1513,290
HAL-1513,159
HAL-1513,100
HAL-1509,291
HAL-1509,292
HAL-1509,293
HAL-1509,294
HAL-1509,295
HAL-1509,296
HAL-1509,297
HAL-1509,298
HAL-1509,299
HAL-1509,300
HAL-1506,21
HAL-1506,24
HAL-1505,204
HAL-1505,301
HAL-1505,302
HAL-1505,47
HAL-1505,303
HAL-1505,12
HAL-1505,43
HAL-1505,10
HAL-1505,304
HAL-1505,78
HAL-1505,24
HAL-1505,305
HAL-1505,306
HAL-1505,42
HAL-1504,307
HAL-1504,308
HAL-1504,309
HAL-1504,310
HAL-1504,311
HAL-1504,312
HAL-1504,313
HAL-1504,37
HAL-1504,109
HAL-1504,314
HAL-1504,111
HAL-1504,94
HAL-1504,112
HAL-1492,104
HAL-1492,105
HAL-1492,74
HAL-1492,72
HAL-1492,79
HAL-1492,25
HAL-1492,62
HAL-1492,106
HAL-1492,107
HAL-1492,108
HAL-1492,109
HAL-1492,110
HAL-1492,100
HAL-1492,111
HAL-1492,94
HAL-1492,112
HAL-1482,214
HAL-1482,315
HAL-1482,139
HAL-1482,187
HAL-1482,316
HAL-1482,226
HAL-1482,317
HAL-1482,318
HAL-1482,189
HAL-1482,319
HAL-1482,159
HAL-1482,111
HAL-1482,320
HAL-1479,321
HAL-1479,322
HAL-1479,64
HAL-1479,323
HAL-1479,133
HAL-1479,8
HAL-1479,324
HAL-1479,35
HAL-1479,101
HAL-1479,60
HAL-1479,109
HAL-1479,110
HAL-1479,24
HAL-1479,112
HAL-1472,80
HAL-1472,149
HAL-1472,325
HAL-1472,326
HAL-1472,327
HAL-1472,328
HAL-1472,329
HAL-1472,330
HAL-1472,331
HAL-1472,196
HAL-1472,100
HAL-1470,65
HAL-1470,205
HAL-1470,206
HAL-1470,274
HAL-1470,332
HAL-1470,40
HAL-1470,93
HAL-1470,111
HAL-1470,94
HAL-1460,213
HAL-1460,156
HAL-1460,333
HAL-1460,289
HAL-1460,48
HAL-1460,334
HAL-1460,281
HAL-1460,335
HAL-1460,336
HAL-1460,67
HAL-1460,337
HAL-1460,68
HAL-1460,338
HAL-1460,113
HAL-1460,114
HAL-1460,339
HAL-1460,320
HAL-1456,340
HAL-1456,15
HAL-1456,341
HAL-1456,342
HAL-1456,109
HAL-1456,111
HAL-1456,112
HAL-1454,343
HAL-1454,344
HAL-1454,300
HAL-1454,345
HAL-1454,308
HAL-1454,346
HAL-1454,347
HAL-1454,348
HAL-1454,3
HAL-1454,303
HAL-1451,349
HAL-1451,350
HAL-1451,108
HAL-1451,351
HAL-1451,91
HAL-1451,352
HAL-1451,314
HAL-1449,349
HAL-1449,350
HAL-1449,108
HAL-1449,351
HAL-1449,91
HAL-1449,352
HAL-1449,314
HAL-1448,349
HAL-1448,350
HAL-1448,108
HAL-1448,351
HAL-1448,91
HAL-1448,352
HAL-1448,314
HAL-1447,353
HAL-1447,354
HAL-1447,336
HAL-1447,355
HAL-1447,338
HAL-1447,177
HAL-1447,101
HAL-1447,60
HAL-1447,26
HAL-1447,114
HAL-1447,356
HAL-1447,109
HAL-1447,110
HAL-1447,24
HAL-1447,85
HAL-1447,94
HAL-1443,357
HAL-1443,358
HAL-1443,359
HAL-1441,45
HAL-1441,116
HAL-1441,175
HAL-1441,360
HAL-1441,302
HAL-1441,14
HAL-1441,361
HAL-1441,109
HAL-1441,94
HAL-1441,112
HAL-1440,362
HAL-1440,4
HAL-1440,29
HAL-1440,363
HAL-1440,89
HAL-1440,364
HAL-1440,64
HAL-1440,365
HAL-1440,34
HAL-1440,323
HAL-1440,180
HAL-1440,324
HAL-1440,60
HAL-1440,108
HAL-1440,110
HAL-1440,159
HAL-1440,111
HAL-1440,112
HAL-1439,366
HAL-1439,6
HAL-1439,367
HAL-1439,32
HAL-1439,80
HAL-1439,368
HAL-1439,100
HAL-1439,111
HAL-1439,112
HAL-1438,366
HAL-1438,6
HAL-1438,367
HAL-1438,32
HAL-1438,80
HAL-1438,368
HAL-1438,100
HAL-1438,111
HAL-1438,112
HAL-1404,343
HAL-1404,344
HAL-1404,300
HAL-1404,345
HAL-1404,308
HAL-1404,346
HAL-1404,347
HAL-1404,348
HAL-1404,3
HAL-1404,303
HAL-1404,369
HAL-1404,370
HAL-1401,95
HAL-1401,98
HAL-1401,162
HAL-1398,44
HAL-1398,22
HAL-1398,73
HAL-1398,203
HAL-1398,2
HAL-1398,96
HAL-1398,39
HAL-1398,93
HAL-1398,1
HAL-1396,113
HAL-1396,114
HAL-1396,115
HAL-1280,53
HAL-1280,87
HAL-1280,21
HAL-1280,60
HAL-1280,109
HAL-1280,24
HAL-1155,362
HAL-1155,4
HAL-1155,29
HAL-1155,363
HAL-1155,89
HAL-1155,364
HAL-1155,64
HAL-1155,365
HAL-1155,34
HAL-1155,323
HAL-1155,180
HAL-1155,324
HAL-1155,60
HAL-1155,108
HAL-1155,110
HAL-1155,159
HAL-1155,111
HAL-1155,112
