bug_report_id,file_diff_id
HAL-1602,120
HAL-1602,22
HAL-1602,122
HAL-1602,123
HAL-1602,83
HAL-1602,14
HAL-1602,15
HAL-1584,230
HAL-1584,231
HAL-1584,232
HAL-1584,141
HAL-1584,15
HAL-1583,233
HAL-1583,97
HAL-1583,68
HAL-1583,100
HAL-1583,69
HAL-1583,70
HAL-1583,15
HAL-1582,198
HAL-1582,234
HAL-1582,167
HAL-1582,235
HAL-1582,164
HAL-1582,141
HAL-1582,11
HAL-1582,13
HAL-1582,15
HAL-1581,230
HAL-1581,231
HAL-1581,232
HAL-1581,141
HAL-1581,15
HAL-1579,236
HAL-1579,146
HAL-1579,90
HAL-1570,54
HAL-1570,57
HAL-1564,176
HAL-1564,172
HAL-1564,237
HAL-1564,238
HAL-1564,239
HAL-1564,240
HAL-1564,218
HAL-1564,26
HAL-1564,11
HAL-1564,14
HAL-1564,15
HAL-1564,16
HAL-1564,44
HAL-1564,241
HAL-1552,182
HAL-1552,95
HAL-1552,97
HAL-1552,242
HAL-1552,243
HAL-1552,244
HAL-1552,245
HAL-1552,139
HAL-1552,246
HAL-1552,247
HAL-1552,43
HAL-1552,248
HAL-1552,249
HAL-1552,250
HAL-1552,251
HAL-1552,13
HAL-1552,14
HAL-1551,25
HAL-1551,252
HAL-1551,253
HAL-1551,254
HAL-1551,255
HAL-1551,29
HAL-1551,30
HAL-1551,35
HAL-1551,11
HAL-1551,36
HAL-1551,14
HAL-1551,16
HAL-1551,44
HAL-1551,256
HAL-1546,257
HAL-1546,258
HAL-1546,259
HAL-1546,260
HAL-1546,261
HAL-1546,11
HAL-1546,13
HAL-1546,15
HAL-1539,25
HAL-1539,37
HAL-1539,38
HAL-1539,39
HAL-1539,40
HAL-1539,41
HAL-1539,42
HAL-1539,43
HAL-1539,11
HAL-1539,36
HAL-1539,13
HAL-1539,14
HAL-1539,16
HAL-1539,44
HAL-1539,45
HAL-1526,262
HAL-1526,263
HAL-1526,264
HAL-1526,265
HAL-1526,266
HAL-1526,267
HAL-1526,268
HAL-1526,269
HAL-1526,13
HAL-1526,15
HAL-1520,270
HAL-1520,271
HAL-1520,131
HAL-1519,46
HAL-1519,107
HAL-1519,272
HAL-1519,150
HAL-1519,108
HAL-1519,273
HAL-1519,274
HAL-1519,14
HAL-1515,275
HAL-1514,91
HAL-1514,276
HAL-1514,277
HAL-1514,278
HAL-1513,279
HAL-1513,107
HAL-1513,150
HAL-1513,273
HAL-1513,280
