bug_report_id,file_diff_id
TEIID-2260,1
TEIID-2260,2
TEIID-2260,3
TEIID-2260,4
TEIID-2260,5
TEIID-2260,6
TEIID-2260,7
TEIID-2260,8
TEIID-2260,9
TEIID-2260,10
TEIID-2260,11
TEIID-2260,12
TEIID-2260,13
TEIID-2260,14
TEIID-2260,15
TEIID-2260,16
TEIID-2260,17
TEIID-2260,18
TEIID-2294,19
TEIID-2294,20
TEIID-2294,21
TEIID-2294,22
TEIID-2294,6
TEIID-2294,23
TEIID-2294,24
TEIID-4125,62
TEIID-4125,63
TEIID-4125,64
TEIID-4125,65
TEIID-4125,66
TEIID-4125,67
TEIID-4125,68
TEIID-4125,69
TEIID-4125,70
TEIID-4125,71
TEIID-2999,76
TEIID-2999,77
TEIID-3219,78
TEIID-3219,79
TEIID-3219,80
TEIID-3204,81
TEIID-3204,82
TEIID-3204,83
TEIID-3204,84
TEIID-3204,69
TEIID-3900,104
TEIID-3895,105
TEIID-3895,106
TEIID-3895,107
TEIID-3895,108
TEIID-3409,109
TEIID-3409,110
TEIID-3409,111
TEIID-3409,112
TEIID-3409,113
TEIID-3409,114
TEIID-3197,68
TEIID-3055,52
TEIID-3055,115
TEIID-3055,116
TEIID-3055,117
TEIID-3012,118
TEIID-3012,119
TEIID-3012,76
TEIID-3012,120
TEIID-3012,121
TEIID-3012,122
TEIID-2799,127
TEIID-2799,128
TEIID-2799,129
TEIID-2799,130
TEIID-2799,131
TEIID-2799,132
TEIID-2799,133
TEIID-2799,134
TEIID-2799,135
TEIID-2799,136
TEIID-2799,137
TEIID-2799,138
TEIID-2799,139
TEIID-2799,140
TEIID-2799,141
TEIID-2486,81
TEIID-2486,83
