bug_report_id,bug_report_desc,bug_report_time
UNDERTOW-1663,We need to properly handle the BUFFER_OVERFLOW ssl engine result at SslConduit.,2020/02/27 11:35 PM
UNDERTOW-1646,"When uploading files using multi-part encoding, parameter count from request.getParameterMap() and request.getParameterNames() are different.

It seems both methods attempt to filter out FileItem parameters, but the getParameterMap includes the parameter with an empty values list in the returned map.



*Steps to reproduce:*
# deploy attached reproducer
# go to http://localhost:8080/reproducer
# upload file
Expected:
{noformat}
Parameter Map size: 1
Parameter Names count: 1
{noformat}
Actual:
{noformat}
Parameter Map size: 2
Parameter Names count: 1
{noformat}",2020/01/23 5:44 AM
UNDERTOW-1645,"AbstractFramedStreamSourceChannel.lastFrame sets 'state |= STATE_DONE | STATE_CLOSED;' prior to invoking close via 'IoUtils.safeClose(this);'. Setting STATE_CLOSED before the close method is called results in close returning immediately without invoking close listeners or notifying waiters.

I imagine the state update should use 'state|= STATE_DONE;' to allow close to execute normally.",2020/01/22 11:28 AM
UNDERTOW-1644,"The implementation without a timeout checks pendingFrameData.isEmpty, but the implementation with a timeout does not.

This causes calls to awaitReadable(<timeout>) to hang unnecessarily.",2020/01/22 10:41 AM
UNDERTOW-1643,"Worker thread:

{noformat}
""XNIO-1 task-5"" #29 prio=5 os_prio=0 cpu=190.11ms elapsed=79.57s tid=0x00007fc974016800 nid=0x8f5 waiting for monitor entry  [0x00007fc9b552c000]
   java.lang.Thread.State: BLOCKED (on object monitor)
	at io.undertow.server.protocol.framed.AbstractFramedStreamSinkChannel.close(AbstractFramedStreamSinkChannel.java:531)
	- waiting to lock <0x0000000617a06050> (a io.undertow.protocols.http2.Http2HeadersStreamSinkChannel)
	at org.xnio.IoUtils.safeClose(IoUtils.java:134)
	at io.undertow.server.protocol.framed.AbstractFramedChannel.queueFrame(AbstractFramedChannel.java:741)
	at io.undertow.server.protocol.framed.AbstractFramedStreamSinkChannel.queueFinalFrame(AbstractFramedStreamSinkChannel.java:265)
	- locked <0x0000000617a06040> (a java.lang.Object)
	at io.undertow.server.protocol.framed.AbstractFramedStreamSinkChannel.shutdownWrites(AbstractFramedStreamSinkChannel.java:248)
	- locked <0x0000000617a06040> (a java.lang.Object)
	at org.xnio.conduits.StreamSinkChannelWrappingConduit.terminateWrites(StreamSinkChannelWrappingConduit.java:75)
	at org.xnio.conduits.ConduitStreamSinkChannel.shutdownWrites(ConduitStreamSinkChannel.java:178)
	at io.undertow.channels.DetachableStreamSinkChannel.shutdownWrites(DetachableStreamSinkChannel.java:79)
	at io.undertow.io.UndertowOutputStream.close(UndertowOutputStream.java:347)
	at io.undertow.server.HttpServerExchange$DefaultBlockingHttpExchange.close(HttpServerExchange.java:1932)
	at io.undertow.server.HttpServerExchange.endExchange(HttpServerExchange.java:1626)
	at io.undertow.server.Connectors.executeRootHandler(Connectors.java:416)
	at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:830)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(java.base@11.0.5/ThreadPoolExecutor.java:1128)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(java.base@11.0.5/ThreadPoolExecutor.java:628)
	at java.lang.Thread.run(java.base@11.0.5/Thread.java:834)
{noformat}

I/O thread:


{noformat}
""XNIO-1 I/O-8"" #21 prio=5 os_prio=0 cpu=2207.61ms elapsed=82.85s tid=0x00007fca0469d800 nid=0x857 waiting for monitor entry  [0x00007fc9b633f000]
   java.lang.Thread.State: BLOCKED (on object monitor)
	at io.undertow.server.protocol.framed.AbstractFramedStreamSinkChannel.close(AbstractFramedStreamSinkChannel.java:536)
	- waiting to lock <0x0000000617a06040> (a java.lang.Object)
	- locked <0x0000000617a06050> (a io.undertow.protocols.http2.Http2HeadersStreamSinkChannel)
	at org.xnio.IoUtils.safeClose(IoUtils.java:134)
	at io.undertow.protocols.http2.Http2Channel.closeSubChannels(Http2Channel.java:650)
	at io.undertow.server.protocol.framed.AbstractFramedChannel.close(AbstractFramedChannel.java:839)
	at org.xnio.IoUtils.safeClose(IoUtils.java:134)
	at io.undertow.protocols.http2.Http2Channel.handleBrokenSinkChannel(Http2Channel.java:633)
	at io.undertow.server.protocol.framed.AbstractFramedChannel.markWritesBroken(AbstractFramedChannel.java:895)
	at io.undertow.server.protocol.framed.AbstractFramedChannel.flushSenders(AbstractFramedChannel.java:707)
	- locked <0x0000000617a18100> (a io.undertow.protocols.http2.Http2Channel)
	at io.undertow.server.protocol.framed.AbstractFramedChannel.flush(AbstractFramedChannel.java:754)
	at io.undertow.server.protocol.framed.AbstractFramedChannel.queueFrame(AbstractFramedChannel.java:747)
	at io.undertow.server.protocol.framed.AbstractFramedStreamSinkChannel.queueFinalFrame(AbstractFramedStreamSinkChannel.java:265)
	- locked <0x0000000617a06118> (a java.lang.Object)
	at io.undertow.server.protocol.framed.AbstractFramedStreamSinkChannel.shutdownWrites(AbstractFramedStreamSinkChannel.java:248)
	- locked <0x0000000617a06118> (a java.lang.Object)
	at io.undertow.protocols.http2.Http2Channel.sendGoAway(Http2Channel.java:827)
	at io.undertow.protocols.http2.Http2Channel.handleBrokenSourceChannel(Http2Channel.java:624)
	at io.undertow.server.protocol.framed.AbstractFramedChannel.markReadsBroken(AbstractFramedChannel.java:867)
	at io.undertow.server.protocol.framed.AbstractFramedChannel.receive(AbstractFramedChannel.java:488)
	- locked <0x0000000617a18100> (a io.undertow.protocols.http2.Http2Channel)
	at io.undertow.server.protocol.http2.Http2ReceiveListener.handleEvent(Http2ReceiveListener.java:118)
	at io.undertow.server.protocol.http2.Http2ReceiveListener.handleEvent(Http2ReceiveListener.java:67)
	at org.xnio.ChannelListeners.invokeChannelListener(ChannelListeners.java:92)
	at io.undertow.server.protocol.framed.AbstractFramedChannel$FrameReadListener.handleEvent(AbstractFramedChannel.java:966)
	at io.undertow.server.protocol.framed.AbstractFramedChannel$FrameReadListener.handleEvent(AbstractFramedChannel.java:946)
	at org.xnio.ChannelListeners.invokeChannelListener(ChannelListeners.java:92)
	at org.xnio.conduits.ReadReadyHandler$ChannelListenerHandler.readReady(ReadReadyHandler.java:66)
	at io.undertow.protocols.ssl.SslConduit$SslReadReadyHandler.readReady(SslConduit.java:1176)
	at io.undertow.protocols.ssl.SslConduit$1.run(SslConduit.java:168)
	at org.xnio.nio.WorkerThread.safeRun(WorkerThread.java:582)
	at org.xnio.nio.WorkerThread.run(WorkerThread.java:466)
{noformat}
",2020/01/22 10:25 AM
UNDERTOW-1639,"Applying timeouts to blocking operations (as described in UNDERTOW-1622) allows us to avoid  waiting forever, but we should avoid getting into this situation entirely if possible.
In practice we've found several http/2 requests a day that should take a few milliseconds get stuck as described, normally while reading data from a small request body.
Unfortunately awaitReadable and awaitWritable block beyond when the connections are closed.",2020/01/17 3:04 PM
UNDERTOW-1638,"While attempting to reproduce a client connection leak I encountered 'UT000091: Buffer has already been freed'.

Note this occurred while running 32 concurrent clients after just over 200,000 total requests.

Handler implementation:

{noformat}
            new BlockingHandler(exchange -> {
                    Thread.sleep(1);
                    exchange.getResponseHeaders().put(Headers.CONTENT_TYPE, ""application/json"");
                    exchange.getOutputStream().write(responseData); // 200kb
                })
{noformat}


{noformat}
13:24:35.528 [XNIO-1 task-38] ERROR io.undertow.request - UT005071: Undertow request failed HttpServerExchange{ POST /simple/ping}
java.lang.IllegalStateException: UT000091: Buffer has already been freed
	at io.undertow.server.DefaultByteBufferPool$DefaultPooledBuffer.getBuffer(DefaultByteBufferPool.java:260)
	at io.undertow.server.protocol.framed.AbstractFramedStreamSinkChannel.sendWriteBuffer(AbstractFramedStreamSinkChannel.java:497)
	at io.undertow.server.protocol.framed.AbstractFramedStreamSinkChannel.handleBufferFull(AbstractFramedStreamSinkChannel.java:485)
	at io.undertow.server.protocol.framed.AbstractFramedStreamSinkChannel.write(AbstractFramedStreamSinkChannel.java:396)
	at org.xnio.conduits.StreamSinkChannelWrappingConduit.write(StreamSinkChannelWrappingConduit.java:61)
	at org.xnio.conduits.ConduitStreamSinkChannel.write(ConduitStreamSinkChannel.java:158)
	at io.undertow.channels.DetachableStreamSinkChannel.write(DetachableStreamSinkChannel.java:179)
	at io.undertow.server.HttpServerExchange$WriteDispatchChannel.write(HttpServerExchange.java:2070)
	at org.xnio.channels.Channels.writeBlocking(Channels.java:152)
	at io.undertow.io.UndertowOutputStream.write(UndertowOutputStream.java:185)
	at io.undertow.io.UndertowOutputStream.write(UndertowOutputStream.java:105)
	at com.palantir.conjure.java.client.jaxrs.Repro.lambda$main$0(Repro.java:75)
	at io.undertow.server.Connectors.executeRootHandler(Connectors.java:376)
	at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:830)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628)
	at java.base/java.lang.Thread.run(Thread.java:834)
{noformat}
",2020/01/17 1:34 PM
UNDERTOW-1634,"When running examples(class Runner) on Windows, annotated classes are not selected because file separator  is not ""/""",2020/01/04 3:26 AM
UNDERTOW-1629,"In release 2.0.28 logging was introduced at level error when a client connection does not succeed to authenticate their client certificate. This can easily fill logs during a malicious attack, can the log level be reduced to debug. (Original change to add the logging was:
[UNDERTOW-1580] Improve EJB over HTTPS logging)",2019/12/17 10:52 AM
UNDERTOW-1624,"There is a check for a loop in the listener triggered by AbstractFramedStreamSinkChannel.resumeWritesInternal:
{code}
                        if (loopCount++ == 100) {
                            //should never happen
                            UndertowLogger.ROOT_LOGGER.listenerNotProgressing();
                            IoUtils.safeClose(AbstractFramedStreamSinkChannel.this);
                            return;
                        }
{code}
This loop count can reach 100 if we are using EJB over HTTP, and close the connection unexpectedly.",2019/12/04 3:28 PM
