bug_report_id,file_diff_id
JBTM-2093,77
JBTM-2086,196
JBTM-2086,197
JBTM-2086,198
JBTM-2086,199
JBTM-2086,200
JBTM-2086,201
JBTM-2086,202
JBTM-2086,203
JBTM-2085,189
JBTM-2085,190
JBTM-2085,191
JBTM-2085,192
JBTM-2085,82
JBTM-2085,193
JBTM-2085,65
JBTM-2085,166
JBTM-2085,40
JBTM-2075,204
JBTM-2031,205
JBTM-2031,206
JBTM-2029,207
JBTM-2029,208
JBTM-2029,209
JBTM-2029,210
JBTM-2029,133
JBTM-2027,133
JBTM-2027,135
JBTM-2020,205
JBTM-2020,206
JBTM-2012,211
JBTM-2012,212
JBTM-2012,213
JBTM-2012,214
JBTM-2012,75
JBTM-2012,215
JBTM-2012,216
JBTM-2001,217
JBTM-2001,218
JBTM-2001,219
JBTM-2001,3
JBTM-2001,7
JBTM-2001,142
JBTM-2001,11
JBTM-2001,10
JBTM-1987,182
JBTM-1980,220
JBTM-1980,221
JBTM-1980,222
JBTM-1979,223
JBTM-1979,224
JBTM-1979,225
JBTM-1979,226
JBTM-1979,227
JBTM-1979,228
JBTM-1979,229
JBTM-1979,230
JBTM-1979,231
JBTM-1979,232
JBTM-1979,233
JBTM-1979,234
JBTM-1979,235
JBTM-1979,236
JBTM-1979,237
JBTM-1979,238
JBTM-1979,239
JBTM-1960,240
JBTM-1960,58
JBTM-1960,241
JBTM-1960,69
JBTM-1959,48
JBTM-1938,88
JBTM-1938,89
JBTM-1938,90
JBTM-1938,91
JBTM-1938,92
JBTM-1938,93
JBTM-1938,94
JBTM-1938,95
JBTM-1938,96
JBTM-1938,97
JBTM-1938,98
JBTM-1931,240
JBTM-1931,58
JBTM-1931,241
JBTM-1931,69
JBTM-1924,166
JBTM-1924,40
JBTM-1924,242
JBTM-1919,243
JBTM-1919,244
JBTM-1919,245
JBTM-1919,246
JBTM-1919,247
JBTM-1890,248
JBTM-1889,249
JBTM-1889,19
JBTM-1889,250
JBTM-1889,251
JBTM-1889,252
JBTM-1889,253
JBTM-1902,254
JBTM-1902,255
JBTM-1902,99
JBTM-1902,59
JBTM-1902,60
JBTM-1902,63
JBTM-1886,166
JBTM-1886,40
JBTM-1882,24
JBTM-1882,27
JBTM-1882,18
JBTM-1882,5
JBTM-1882,15
JBTM-1882,25
JBTM-1882,143
JBTM-1882,144
JBTM-1882,145
JBTM-1882,146
JBTM-1882,147
JBTM-1882,148
JBTM-1879,89
JBTM-1851,69
JBTM-1851,256
JBTM-1835,257
JBTM-1835,258
JBTM-1835,259
JBTM-1835,260
JBTM-1835,261
JBTM-1819,40
JBTM-1803,249
JBTM-1803,19
JBTM-1803,250
JBTM-1803,251
JBTM-1803,252
JBTM-1803,253
JBTM-1779,262
JBTM-1779,263
JBTM-1779,264
JBTM-1779,4
JBTM-1779,265
JBTM-1779,266
JBTM-1779,267
JBTM-1779,268
JBTM-1779,8
JBTM-1779,269
JBTM-1779,22
JBTM-1779,7
JBTM-1779,29
JBTM-1779,270
JBTM-1779,219
JBTM-1779,1
JBTM-1779,271
JBTM-1779,20
JBTM-1779,23
JBTM-1730,249
JBTM-1730,19
JBTM-1730,250
JBTM-1730,251
JBTM-1730,252
JBTM-1730,253
JBTM-1715,26
JBTM-1715,27
JBTM-1715,249
JBTM-1715,19
JBTM-1715,250
JBTM-1715,251
JBTM-1715,252
JBTM-1715,253
JBTM-1711,272
JBTM-1711,4
JBTM-1711,273
JBTM-1711,30
JBTM-1649,69
JBTM-1543,274
JBTM-1543,275
JBTM-1543,276
JBTM-1543,277
JBTM-1543,278
JBTM-1543,279
JBTM-1543,102
JBTM-1543,71
JBTM-1543,217
JBTM-1543,30
JBTM-1543,3
JBTM-1543,9
JBTM-1543,181
JBTM-1543,280
JBTM-1543,281
JBTM-1543,282
JBTM-1543,283
JBTM-1543,2
JBTM-1543,6
JBTM-1543,14
JBTM-1543,16
JBTM-1543,21
JBTM-1543,28
JBTM-1543,64
JBTM-1543,284
JBTM-1543,285
JBTM-1543,69
JBTM-1543,13
JBTM-1543,148
JBTM-1543,254
JBTM-1543,286
JBTM-1543,287
JBTM-1543,255
JBTM-1543,240
JBTM-1543,99
JBTM-1543,59
JBTM-1543,60
JBTM-1543,288
JBTM-1543,63
JBTM-1543,289
JBTM-1543,290
JBTM-1542,274
JBTM-1542,275
JBTM-1542,276
JBTM-1542,277
JBTM-1542,278
JBTM-1542,279
JBTM-1542,102
JBTM-1542,71
JBTM-1542,217
JBTM-1542,30
JBTM-1542,3
JBTM-1542,9
JBTM-1542,181
JBTM-1542,280
JBTM-1542,281
JBTM-1542,282
JBTM-1542,283
JBTM-1542,2
JBTM-1542,6
JBTM-1542,14
JBTM-1542,16
JBTM-1542,21
JBTM-1542,28
JBTM-1542,64
JBTM-1542,284
JBTM-1542,285
JBTM-1542,69
JBTM-1542,13
JBTM-1542,148
JBTM-1542,254
JBTM-1542,286
JBTM-1542,287
JBTM-1542,255
JBTM-1542,240
JBTM-1542,99
JBTM-1542,59
JBTM-1542,60
JBTM-1542,288
JBTM-1542,63
JBTM-1542,289
JBTM-1542,290
JBTM-1541,274
JBTM-1541,275
JBTM-1541,276
JBTM-1541,277
JBTM-1541,278
JBTM-1541,279
JBTM-1541,102
JBTM-1541,71
JBTM-1541,217
JBTM-1541,30
JBTM-1541,3
JBTM-1541,9
JBTM-1541,181
JBTM-1541,280
JBTM-1541,281
JBTM-1541,282
JBTM-1541,283
JBTM-1541,2
JBTM-1541,6
JBTM-1541,14
JBTM-1541,16
JBTM-1541,21
JBTM-1541,28
JBTM-1541,64
JBTM-1541,284
JBTM-1541,285
JBTM-1541,69
JBTM-1541,13
JBTM-1541,148
JBTM-1541,254
JBTM-1541,286
JBTM-1541,287
JBTM-1541,255
JBTM-1541,240
JBTM-1541,99
JBTM-1541,59
JBTM-1541,60
JBTM-1541,288
JBTM-1541,63
JBTM-1541,289
JBTM-1541,290
JBTM-1540,274
JBTM-1540,275
JBTM-1540,276
JBTM-1540,277
JBTM-1540,278
JBTM-1540,279
JBTM-1540,102
JBTM-1540,71
JBTM-1540,217
JBTM-1540,30
JBTM-1540,3
JBTM-1540,9
JBTM-1540,181
JBTM-1540,280
JBTM-1540,281
JBTM-1540,282
JBTM-1540,283
JBTM-1540,2
JBTM-1540,6
JBTM-1540,14
JBTM-1540,16
JBTM-1540,21
JBTM-1540,28
JBTM-1540,64
JBTM-1540,284
JBTM-1540,285
JBTM-1540,69
JBTM-1540,13
JBTM-1540,148
JBTM-1540,254
JBTM-1540,286
JBTM-1540,287
JBTM-1540,255
JBTM-1540,240
JBTM-1540,99
JBTM-1540,59
JBTM-1540,60
JBTM-1540,288
JBTM-1540,63
JBTM-1540,289
JBTM-1540,290
JBTM-1539,274
JBTM-1539,275
JBTM-1539,276
JBTM-1539,277
JBTM-1539,278
JBTM-1539,279
JBTM-1539,102
JBTM-1539,71
JBTM-1539,217
JBTM-1539,30
JBTM-1539,3
JBTM-1539,9
JBTM-1539,181
JBTM-1539,280
JBTM-1539,281
JBTM-1539,282
JBTM-1539,283
JBTM-1539,2
JBTM-1539,6
JBTM-1539,14
JBTM-1539,16
JBTM-1539,21
JBTM-1539,28
JBTM-1539,64
JBTM-1539,284
JBTM-1539,285
JBTM-1539,69
JBTM-1539,13
JBTM-1539,148
JBTM-1539,254
JBTM-1539,286
JBTM-1539,287
JBTM-1539,255
JBTM-1539,240
JBTM-1539,99
JBTM-1539,59
JBTM-1539,60
JBTM-1539,288
JBTM-1539,63
JBTM-1539,289
JBTM-1539,290
JBTM-1508,254
JBTM-1508,286
JBTM-1508,287
JBTM-1508,255
JBTM-1508,240
JBTM-1508,99
JBTM-1508,59
JBTM-1508,60
JBTM-1508,288
JBTM-1508,280
JBTM-1508,63
JBTM-1508,64
JBTM-1508,284
JBTM-1508,285
JBTM-1508,69
JBTM-1508,289
JBTM-1508,290
JBTM-1508,181
JBTM-1508,71
JBTM-1452,276
JBTM-1452,277
JBTM-1452,278
JBTM-1434,181
JBTM-1434,291
JBTM-1434,292
JBTM-1434,293
JBTM-1434,294
JBTM-1434,295
JBTM-1433,48
JBTM-1433,296
JBTM-1417,283
JBTM-1417,217
JBTM-1417,297
JBTM-1417,298
JBTM-1417,299
JBTM-1406,300
JBTM-1406,301
JBTM-1394,283
JBTM-1394,217
JBTM-1394,297
JBTM-1394,298
JBTM-1394,299
JBTM-1385,46
JBTM-1380,280
JBTM-1380,281
JBTM-1380,282
JBTM-1380,283
JBTM-1380,2
JBTM-1380,6
JBTM-1380,14
JBTM-1380,16
JBTM-1380,21
JBTM-1380,28
JBTM-1380,64
JBTM-1380,284
JBTM-1380,285
JBTM-1380,69
JBTM-1380,71
JBTM-1380,13
JBTM-1380,148
JBTM-1379,280
JBTM-1379,281
JBTM-1379,282
JBTM-1379,283
JBTM-1379,2
JBTM-1379,6
JBTM-1379,14
JBTM-1379,16
JBTM-1379,21
JBTM-1379,28
JBTM-1379,64
JBTM-1379,284
JBTM-1379,285
JBTM-1379,69
JBTM-1379,71
JBTM-1379,13
JBTM-1379,148
JBTM-1354,302
JBTM-1354,303
JBTM-1354,304
JBTM-1307,40
JBTM-1307,69
JBTM-1306,40
JBTM-1306,69
JBTM-1298,305
JBTM-1298,99
JBTM-1291,40
JBTM-1290,40
JBTM-1258,40
JBTM-1256,40
JBTM-1225,306
JBTM-1225,307
JBTM-1225,308
JBTM-1225,309
JBTM-1225,310
JBTM-1225,311
JBTM-1225,312
JBTM-1225,313
JBTM-1225,314
JBTM-1225,315
JBTM-1225,316
JBTM-1225,317
JBTM-1225,318
JBTM-1225,40
