bug_report_id,bug_report_desc,bug_report_time
ISPN-2338,"Transactions should be transferred anyway, even if the affected data segments are not.

Affected test: ParticipantFailsAfterPrepareTest",2012/09/24 7:47 AM
ISPN-2297,"Cache restart has at least two issues:

1. If a cache is stopped via {{Cache.stop()}} it will still be returned by {{DefaultCacheManager.getCache()}}. Cache {{start()}} and {{stop()}} are not synchronized in any way, so a {{start()}} call may return before the cache was properly started - just because another thread is in the process of starting it.

2. {{ComponentRegistry}} keeps a few components as fields to speed up access. These components are destroyed on {{stop()}} and re-created on {{start()}}, because they are volatile, but the field references are not updated.

Also, the documentation of {{EmbeddedCacheManager.getCache()}} should say that it will start the cache only if it doesn't exist yet - if the cache is stopped it will return the cache as it was. Alternatively we could change the behaviour of {{getCache()}} to always start the cache.",2012/09/14 3:57 AM
ISPN-2262,"Basic resilience scenario in library mode:
* spawn 4 nodes
* kill one node (kill = insert DISCARD protocol and then call CacheManger.stop())
* start one node

We use RadarGun (with some modifications) for this test.

When the node is started again the system looses some messages as some timeouts are triggered (and the RadarGun stage acknowledgement is missing as well) and later put/get requests cause exceptions.

The trace logs are too big, therefore, these are published on http://dl.dropbox.com/u/103079234/serverlogs_trace.zip

Note that the test was shutdown manually.",2012/09/05 11:47 AM
ISPN-2193,"This problem was spotted by the Hibernate 2nd level cache testsuite.

Since the introduction of ExpandableMarshalledValueByteStream as an improvement to MarshalledValue, the war buffer might be allocated larger than the actually used buffer region. Most usages of getRaw() where correctly using the area, except the final line of the equals implementation of MarshalledValue - which is reached only in exceptional cases and configurations.",2012/08/11 1:22 PM
ISPN-2173,"When using xa enlistment (transaction/useSynchronization=false, default), and recovery is disabled (transaction/recovery/enabled=false, default) the transaction manager might invoke recovery related methods such as XAResource.forget() in certain situations.
E.g. the JBossTM invokes ""forget"", if during, XAResource.commit(xid, true) (second param means 1PC=true) an exception is thrown. (I expect an XAResource.rollback to be invoked in between the failed commit and forget). 
Here is such a stack trace: 
{quote}
2012-07-25 14:13:42,821 WARN  (testng-CheckRemoteLockAcquiredOnlyOnceDistTest:) [org.infinispan.transaction.xa.TransactionXaAdapter] Exception removing recovery information:java.lang.NullPointerException
        at org.infinispan.transaction.xa.TransactionXaAdapter.forget(TransactionXaAdapter.java:159)
        at com.arjuna.ats.internal.jta.resources.arjunacore.XAResourceRecord.forget(XAResourceRecord.java:759)
        at com.arjuna.ats.internal.jta.resources.arjunacore.XAResourceRecord.topLevelOnePhaseCommit(XAResourceRecord.java:691)
        at com.arjuna.ats.arjuna.coordinator.BasicAction.onePhaseCommit(BasicAction.java:2285)
        at com.arjuna.ats.arjuna.coordinator.BasicAction.End(BasicAction.java:1468)
        at com.arjuna.ats.arjuna.coordinator.TwoPhaseCoordinator.end(TwoPhaseCoordinator.java:98)
        at com.arjuna.ats.arjuna.AtomicAction.commit(AtomicAction.java:164)
        at com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionImple.commitAndDisassociate(TransactionImple.java:1165)
        at com.arjuna.ats.internal.jta.transaction.arjunacore.BaseTransaction.commit(BaseTransaction.java:117)
        at org.infinispan.lock.CheckRemoteLockAcquiredOnlyOnceTest.testLockThenOperation(CheckRemoteLockAcquiredOnlyOnceTest.java:157)
        at org.infinispan.lock.CheckRemoteLockAcquiredOnlyOnceTest.testLockThenPutAll(CheckRemoteLockAcquiredOnlyOnceTest.java:100)
        at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
        at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
        at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
        at java.lang.reflect.Method.invoke(Method.java:601)
        at org.testng.internal.MethodInvocationHelper.invokeMethod(MethodInvocationHelper.java:74)
        at org.testng.internal.Invoker.invokeMethod(Invoker.java:673)
        at org.testng.internal.Invoker.invokeTestMethod(Invoker.java:846)
        at org.testng.internal.Invoker.invokeTestMethods(Invoker.java:1170)
        at org.testng.internal.TestMethodWorker.invokeTestMethods(TestMethodWorker.java:125)
        at org.testng.internal.TestMethodWorker.run(TestMethodWorker.java:109)
        at org.testng.TestRunner.runWorkers(TestRunner.java:1147)
        at org.testng.TestRunner.privateRun(TestRunner.java:749)
        at org.testng.TestRunner.run(TestRunner.java:600)
        at org.testng.SuiteRunner.runTest(SuiteRunner.java:317)
        at org.testng.SuiteRunner.access$000(SuiteRunner.java:34)
        at org.testng.SuiteRunner$SuiteWorker.run(SuiteRunner.java:351)
        at org.testng.internal.thread.ThreadUtil$CountDownLatchedRunnable.run(ThreadUtil.java:147)
        at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110)
        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603)
        at java.lang.Thread.run(Thread.java:722)
{quote}

As we do allow xa enlistment *without* recovery enabled this NPE shouldn't be shown to the user.
Instead an warning should be logged stating that XA enlistment is configured without recovery, but recovery might be needed in certain situations.
",2012/07/26 9:18 AM
ISPN-2150,"When the event is trigger the getMembersAtStart/End() returns an empty set.

A test case can be found in here [1] and you can integrate it in the master if you want. =)

Cheers

[1] https://github.com/pruivo/infinispan/blob/data_rehash_event/core/src/test/java/org/infinispan/distribution/rehash/RehashNotification.java",2012/07/07 7:33 AM
ISPN-2132,"Hi,
   I am getting a StackOverFlowError when I call remote EJB's that return an exception. The EJBs are running in Weblogic configured to use the LLR XA transaction optimization. We are currently using version 5.0.1-FINAL. I have tried the latest 5.1.5-FINAL version and the problem still occurs.

The top of the stacktrace is:

 javax.ejb.EJBException: EJB encountered System Exception: : java.lang.StackOverflowError
	at java.lang.Integer.toUnsignedString(Integer.java:245)
	at java.lang.Integer.toHexString(Integer.java:174)
	at weblogic.transaction.internal.XAResourceHelper.xidToString(XAResourceHelper.java:26)
	at weblogic.transaction.internal.XAResourceHelper.xidToString(XAResourceHelper.java:21)
	at weblogic.transaction.internal.XidImpl.toString(XidImpl.java:151)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuffer.append(StringBuffer.java:219)
	at weblogic.transaction.internal.TransactionImpl.toString(TransactionImpl.java:965)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuilder.append(StringBuilder.java:115)
	at org.infinispan.transaction.LocalTransaction.toString(LocalTransaction.java:159)
	at org.infinispan.transaction.xa.LocalXaTransaction.toString(LocalXaTransaction.java:66)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuilder.append(StringBuilder.java:115)
	at org.infinispan.transaction.xa.TransactionXaAdapter.toString(TransactionXaAdapter.java:214)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuffer.append(StringBuffer.java:219)
	at weblogic.transaction.internal.XAServerResourceInfo.toString(XAServerResourceInfo.java:151)
	at weblogic.transaction.internal.TransactionImpl.toString(TransactionImpl.java:985)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuilder.append(StringBuilder.java:115)
	at org.infinispan.transaction.LocalTransaction.toString(LocalTransaction.java:159)
	at org.infinispan.transaction.xa.LocalXaTransaction.toString(LocalXaTransaction.java:66)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuilder.append(StringBuilder.java:115)
	at org.infinispan.transaction.xa.TransactionXaAdapter.toString(TransactionXaAdapter.java:214)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuffer.append(StringBuffer.java:219)
	at weblogic.transaction.internal.XAServerResourceInfo.toString(XAServerResourceInfo.java:151)
	at weblogic.transaction.internal.TransactionImpl.toString(TransactionImpl.java:985)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuilder.append(StringBuilder.java:115)
	at org.infinispan.transaction.LocalTransaction.toString(LocalTransaction.java:159)
	at org.infinispan.transaction.xa.LocalXaTransaction.toString(LocalXaTransaction.java:66)
	at java.lang.String.valueOf(String.java:2826)
	at java.lang.StringBuilder.append(StringBuilder.java:115)
	at org.infinispan.transaction.xa.TransactionXaAdapter.toString(TransactionXaAdapter.java:214)

",2012/06/26 5:12 AM
ISPN-2118,The Cassandra cache store pulls in cassandra-all with scope=compile only for the ByteBufferUtil class. Provide an internal version of the ByteBufferUtil methods we use and put cassandra-all on scope=test,2012/06/19 6:12 AM
ISPN-2089,"This test fails:

{code}public class DistSyncTxCacheStoreSharedTest extends BaseDistCacheStoreTest {

   public DistSyncTxCacheStoreSharedTest() {
      sync = true;
      tx = true;
      testRetVals = true;
      shared = true;
      INIT_CLUSTER_SIZE = 2;
      numOwners = 1;
   }

   public void testPutFromNonOwner() throws Exception {
      Cache<Object, String> cacheX = getFirstNonOwner(""key1"");
      CacheStore storeX = TestingUtil.extractComponent(
            cacheX, CacheLoaderManager.class).getCacheStore();
      cacheX.put(""key1"", ""v1"");
      assertEquals(""v1"", cacheX.get(""key1""));
      assertNotNull(storeX.load(""key1""));
      assertEquals(""v1"", storeX.load(""key1"").getValue());
   }

}{code}",2012/06/04 5:38 AM
ISPN-2072,"When having this configuration:
{code:xml}
<transaction
        transactionMode=""TRANSACTIONAL""
        transactionManagerLookupClass=""org.infinispan.transaction.lookup.JBossStandaloneJTAManagerLookup""/>
    <locking isolationLevel=""REPEATABLE_READ"" writeSkewCheck=""true"" />
{code}

When a write skew check is failed, the following exception is propagated to the user code:
{quote}
org.infinispan.CacheException: Detected write skew - concurrent removal of entry!
	at org.infinispan.container.entries.RepeatableReadEntry.performLocalWriteSkewCheck(RepeatableReadEntry.java:75)
        at org.infinispan.container.entries.RepeatableReadEntry.copyForUpdate(RepeatableReadEntry.java:52)
	at org.infinispan.container.EntryFactoryImpl.wrapEntryForRemove(EntryFactoryImpl.java:133)
	at org.infinispan.interceptors.EntryWrappingInterceptor.visitRemoveCommand(EntryWrappingInterceptor.java:158)
	at org.infinispan.commands.write.RemoveCommand.acceptVisitor(RemoveCommand.java:72)
	at org.infinispan.interceptors.base.CommandInterceptor.invokeNextInterceptor(CommandInterceptor.java:116)
	at org.infinispan.interceptors.locking.OptimisticLockingInterceptor.visitRemoveCommand(OptimisticLockingInterceptor.java:173)
	at org.infinispan.commands.write.RemoveCommand.acceptVisitor(RemoveCommand.java:72)
{quote}

The user code is catching the exception, and attempts a rollback. The rollback fails with:

{quote}
WARN  [jta] (main) ARJUNA016045: attempted rollback of < formatId=131077, gtrid_length=29, bqual_length=36, tx_uid=0:ffffac11823e:8e2d:4fc39246:2669f, node_name=1, branch_uid=0:ffffac11823e:8e2d:4fc39246:266a4, subordinatenodename=null, eis_name=0 > (TransactionXaAdapter\{localTransaction=LocalXaTransaction\{xid=< formatId=131077, gtrid_length=29, bqual_length=36, tx_uid=0:ffffac11823e:8e2d:4fc39246:2669f, node_name=1, branch_uid=0:ffffac11823e:8e2d:4fc39246:266a4, subordinatenodename=null, eis_name=0 >} LocalTransaction\{remoteLockedNodes=null, isMarkedForRollback=false, transaction=TransactionImple < ac, BasicAction: 0:ffffac11823e:8e2d:4fc39246:2669f status: ActionStatus.ABORTING >, lockedKeys=null, backupKeyLocks=null, viewId=-1} org.infinispan.transaction.xa.LocalXaTransaction@99a9}) failed with exception code XAException.XAER_NOTA
javax.transaction.xa.XAException
	at org.infinispan.transaction.xa.TransactionXaAdapter.getLocalTransactionAndValidateImpl(TransactionXaAdapter.java:245)
	at org.infinispan.transaction.xa.TransactionXaAdapter.rollback(TransactionXaAdapter.java:134)
	at com.arjuna.ats.internal.jta.resources.arjunacore.XAResourceRecord.topLevelAbort(XAResourceRecord.java:345)
	at com.arjuna.ats.arjuna.coordinator.BasicAction.doAbort(BasicAction.java:2876)
	at com.arjuna.ats.arjuna.coordinator.BasicAction.doAbort(BasicAction.java:2855)
	at com.arjuna.ats.arjuna.coordinator.BasicAction.Abort(BasicAction.java:1618)
	at com.arjuna.ats.arjuna.coordinator.TwoPhaseCoordinator.cancel(TwoPhaseCoordinator.java:118)
	at com.arjuna.ats.arjuna.AtomicAction.abort(AtomicAction.java:188)
	at com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionImple.rollbackAndDisassociate(TransactionImple.java:1247)
	at com.arjuna.ats.internal.jta.transaction.arjunacore.BaseTransaction.rollback(BaseTransaction.java:134)
{quote}

as in _org.infinispan.transaction.xa.TransactionXaAdapter.getLocalTransactionAndValidateImpl(Xid, XaTransactionTable)_ the operation 
{code}
LocalXaTransaction localTransaction = txTable.getLocalTransaction(xid);{code}
returns *null*.

This happens as the method _org.infinispan.interceptors.TxInterceptor_.enlistWriteAndInvokeNext(InvocationContext, WriteCommand) is removing a reference to the local transaction on *line 218*

I've removed the cleanup line and it fixes my problem: I'm now correctly able to rollback transactions and try again. Still I'm uncomfortable with that change..",2012/05/28 11:05 AM
