file_diff,commit_time,file_diff_id
"@@ -144,6 +144,7 @@ protected void destroy() {
       super.destroy();
    }
 
+   @Test (enabled = false, description = ""Temporary disabled : https://issues.jboss.org/browse/ISPN-2249"")
    public void testHashInfoRetrieved() throws InterruptedException {
       assertEquals(3, tcpConnectionFactory.getServers().size());
       for (int i = 0; i < 10; i++) {",2012-08-31T21:22:26Z,1
"@@ -37,7 +37,7 @@
 import javax.transaction.RollbackException;
 import javax.transaction.Transaction;
 
-@Test(testName = ""container.versioning.VersionedDistStateTransferTest"", groups = ""functional"")
+@Test(testName = ""container.versioning.VersionedDistStateTransferTest"", groups = ""functional"", enabled = false, description = ""Temporary disabled : https://issues.jboss.org/browse/ISPN-2249"")
 @CleanupAfterMethod
 public class VersionedDistStateTransferTest extends MultipleCacheManagersTest {
    ConfigurationBuilder builder;",2012-08-31T21:22:26Z,2
"@@ -285,7 +285,8 @@ public void testAtomicReplaceFromNonOwnerWithFlag() throws Exception {
          }
       }
    }
-   
+
+   @Test (enabled = false, description = ""Temporary disabled : https://issues.jboss.org/browse/ISPN-2249"")
    public void testAtomicPutIfAbsentFromNonOwner() throws Exception {
       String key = ""k1"", value = ""value"", value2 = ""v2"";
       for (Cache<Object, String> c : caches) assert c.isEmpty();",2012-08-31T21:22:26Z,3
"@@ -43,7 +43,7 @@
  *
  * @author Carsten Lohmann
  */
-@Test(testName = ""distribution.rehash.RehashAfterJoinWithPreloadTest"", groups = ""functional"")
+@Test(testName = ""distribution.rehash.RehashAfterJoinWithPreloadTest"", groups = ""functional"", enabled = false, description = ""Temporary disabled : https://issues.jboss.org/browse/ISPN-2249"")
 public class RehashAfterJoinWithPreloadTest extends MultipleCacheManagersTest {
 
    private static final Log log = LogFactory.getLog(RehashAfterJoinWithPreloadTest.class);",2012-08-31T21:22:26Z,4
"@@ -44,7 +44,7 @@
  * @author Mircea.Markus@jboss.com
  * @since 4.2
  */
-@Test(groups = ""functional"" , testName=""statetransfer.StateTransferLargeObjectTest"")
+@Test(groups = ""functional"" , testName=""statetransfer.StateTransferLargeObjectTest"", enabled = false, description = ""Temporary disabled : https://issues.jboss.org/browse/ISPN-2249"")
 public class StateTransferLargeObjectTest extends MultipleCacheManagersTest {
 
    private static final Log log = LogFactory.getLog(StateTransferLargeObjectTest.class);",2012-08-31T21:22:26Z,5
"@@ -43,7 +43,7 @@
 /**
  * @author Mircea Markus
  */
-@Test(groups = ""functional"", testName = ""tx.ParticipantFailsAfterPrepareTest"")
+@Test(groups = ""functional"", testName = ""tx.ParticipantFailsAfterPrepareTest"", enabled = false, description = ""Temporary disabled : https://issues.jboss.org/browse/ISPN-2249"")
 public class ParticipantFailsAfterPrepareTest extends MultipleCacheManagersTest {
 
    @Override",2012-08-31T21:22:26Z,6
"@@ -35,7 +35,8 @@
  * @author Galder Zamarreño
  * @since 5.2
  */
-@Test(groups = ""functional"", testName = ""query.cacheloaders.SharedCacheLoaderQueryIndexTest"")
+@Test(groups = ""functional"", testName = ""query.cacheloaders.SharedCacheLoaderQueryIndexTest"", enabled = false,
+      description = ""Temporary disabled: https://issues.jboss.org/browse/ISPN-2249"")
 public class SharedCacheLoaderQueryIndexTest extends BaseReIndexingTest {
 
    protected void configureCache(ConfigurationBuilder builder) {",2012-08-31T21:22:26Z,7
"@@ -48,7 +48,7 @@
  * 
  * @author Sanne Grinovero
  */
-@Test(groups = ""functional"", testName = ""query.distributed.MultiNodeDistributedTest"")
+@Test(groups = ""functional"", testName = ""query.distributed.MultiNodeDistributedTest"", enabled = false, description = ""Temporary disabled : https://issues.jboss.org/browse/ISPN-2249"")
 public class MultiNodeDistributedTest extends AbstractInfinispanTest {
 
    private List<EmbeddedCacheManager> cacheManagers = new ArrayList<EmbeddedCacheManager>(4);",2012-08-31T21:22:26Z,8
"@@ -35,7 +35,8 @@ import org.testng.annotations.Test
  * @author Galder Zamarreño
  * @since 5.1
  */
-@Test(groups = Array(""functional""), testName = ""server.hotrod.HotRod11DistributionTest"")
+@Test(groups = Array(""functional""), testName = ""server.hotrod.HotRod11DistributionTest"" enabled = false,
+      description = ""Temporary disabled : https://issues.jboss.org/browse/ISPN-2249"")
 class HotRod11DistributionTest extends HotRodMultiNodeTest {
 
    override protected def cacheName = ""distributedVersion11""",2012-08-31T21:22:26Z,9
"@@ -42,7 +42,8 @@ import scala.collection.JavaConversions._
  * @author Galder Zamarreño
  * @since 4.1
  */
-@Test(groups = Array(""functional""), testName = ""server.hotrod.HotRodDistributionTest"")
+@Test(groups = Array(""functional""), testName = ""server.hotrod.HotRodDistributionTest"", enabled = false,
+      description = ""Temporary disabled : https://issues.jboss.org/browse/ISPN-2249"")
 class HotRodDistributionTest extends HotRodMultiNodeTest {
 
    override protected def cacheName: String = ""hotRodDistSync""",2012-08-31T21:22:26Z,10
"@@ -32,6 +32,7 @@
 import org.infinispan.marshall.AdvancedExternalizer;
 import org.infinispan.marshall.Marshaller;
 import org.infinispan.remoting.transport.Transport;
+import org.jboss.marshalling.ClassResolver;
 
 import java.util.Properties;
 
@@ -108,6 +109,13 @@ public FluentGlobalConfiguration(GlobalConfiguration globalConfig) {
        * @param advancedExternalizers
        */
       <T> SerializationConfig addAdvancedExternalizer(AdvancedExternalizer<T>... advancedExternalizers);
+
+      /**
+       * Class resolver to use when unmarshallig objects.
+       *
+       * @param classResolver
+       */
+      SerializationConfig classResolver(ClassResolver classResolver);
    }
 
    /**",2012-03-19T13:24:00Z,11
"@@ -50,6 +50,7 @@
 import org.infinispan.util.Util;
 import org.infinispan.util.logging.Log;
 import org.infinispan.util.logging.LogFactory;
+import org.jboss.marshalling.ClassResolver;
 
 import javax.xml.bind.annotation.XmlAccessType;
 import javax.xml.bind.annotation.XmlAccessorType;
@@ -695,6 +696,10 @@ public List<AdvancedExternalizerConfig> getExternalizers() {
       return serialization.externalizerTypes.advancedExternalizers;
    }
 
+   public ClassResolver getClassResolver() {
+      return serialization.classResolver;
+   }
+
    public long getDistributedSyncTimeout() {
       return transport.distributedSyncTimeout;
    }
@@ -1361,6 +1366,9 @@ TransportType setGlobalConfiguration(GlobalConfiguration globalConfig) {
       @XmlElement(name = ""advancedExternalizers"")
       protected AdvancedExternalizersType externalizerTypes = new AdvancedExternalizersType();
 
+      @XmlTransient
+      private ClassResolver classResolver;
+
       public SerializationType() {
          super();
       }
@@ -1453,6 +1461,12 @@ public <T> SerializationConfig addAdvancedExternalizer(int id, AdvancedExternali
                new AdvancedExternalizerConfig().setId(id).setAdvancedExternalizer(advancedExternalizer));
          return this;
       }
+
+      @Override
+      public SerializationConfig classResolver(ClassResolver classResolver) {
+         this.classResolver = classResolver;
+         return this;
+      }
    }
 
    /**",2012-03-19T13:24:00Z,12
"@@ -73,6 +73,8 @@ public static org.infinispan.config.GlobalConfiguration adapt(GlobalConfiguratio
       for (Entry<Integer, AdvancedExternalizer<?>> entry : config.serialization().advancedExternalizers().entrySet()) {
          legacy.serialization().addAdvancedExternalizer(entry.getKey(), entry.getValue());
       }
+
+      legacy.serialization().classResolver(config.serialization().classResolver());
       
       legacy.asyncTransportExecutor()
          .factory(config.asyncTransportExecutor().factory().getClass())
@@ -134,6 +136,8 @@ public static org.infinispan.configuration.global.GlobalConfiguration adapt(org.
       for (AdvancedExternalizerConfig externalizerConfig : legacy.getExternalizers()) {
          builder.serialization().addAdvancedExternalizer(externalizerConfig.getId(), externalizerConfig.getAdvancedExternalizer());
       }
+
+      builder.serialization().classResolver(legacy.getClassResolver());
       
       builder.asyncTransportExecutor()
          .factory(Util.<ExecutorFactory>getInstance(legacy.getAsyncTransportExecutorFactoryClass(), legacy.getClassLoader()))",2012-03-19T13:24:00Z,13
