bug_report_id,bug_report_desc,bug_report_time
MODE-1882,"Getting a stream for the content of an external file accessed through federation throws an exception unless the binary value is present in the internal binary store.

The UrlBinaryValue created by FileSystemConnector (when getNode(""jcr:content"") is called on the nt:file node) has the total partition size rather than the file size.",2013/04/04 11:12 AM
MODE-1880,"Creating a federated node of primary type nt:file and adding binary content results in a file of zero length on disk.

May affect earlier versions - sorry, haven't checked.",2013/04/04 4:38 AM
MODE-1878,"Given the following CND file:

{code:none}
<jcr='http://www.jcp.org/jcr/1.0'>
<nt='http://www.jcp.org/jcr/nt/1.0'>
<inf='http://www.example.com/test'>

[inf:patient] > mix:versionable, nt:hierarchyNode
+ * (inf:patientId) COPY
+ * (inf:section) SNS COPY 
- inf:masterId (STRING) mandatory COPY
- inf:masterNs (STRING) mandatory COPY


/**
 * A section node is a named container of either episodes or documents.
 */
[inf:section] > nt:hierarchyNode orderable 
- inf:name (STRING) mandatory COPY
+ * (nt:hierarchyNode) SNS VERSION 

[inf:patientId]
- inf:name (STRING) mandatory COPY
{code}

the following algorithm should be allowed, but ModeShape incorrectly throws an exception:

# create an inf:patient node (with any mandatory properties)
# create one or more inf:section nodes (with any mandatory properties)
# save
# create another inf:section node (with any mandatory properties)

The last step causes the following exception:

{code}
javax.jcr.ItemExistsException: A node definition that allows same name siblings could not be found for the node ""{}section"" in workspace ""default""
	at org.modeshape.jcr.JcrSession$JcrPreSave.processAfterLocking(JcrSession.java:1914)
	at org.modeshape.jcr.cache.document.WritableSessionCache.runPreSaveAfterLocking(WritableSessionCache.java:479)
	at org.modeshape.jcr.cache.document.WritableSessionCache.save(WritableSessionCache.java:540)
	at org.modeshape.jcr.JcrSession.save(JcrSession.java:986)
	at ...
{code}

Note that the ""inf:patient"" node definition must have two residual child node definitions (one of type ""inf:patientId"" and the other of ""inf:section"") in order for this test to fail. If the ""inf:patientId"" child node definition is removed, then it works fine.
",2013/04/02 6:59 PM
MODE-1876,"When attempting to open a repository with +1M indexed nodes, with indexing rebuild-upon-startup=""if_missing"" (the default), an OOM is encountered. This is with ISPN eviction strategy=""LIRS"" max-entries=""50"", and Java heap  4GB. 

This appears to be the result of the logic in {{org.modeshape.jcr.RepositoryQueryManager.reindexContent(boolean, boolean)}}, which first reads the IDs of all 1M indexed node IDs into memory, and then crawls the entire repository in search of un-indexed nodes.

I suspect that {{rebuild-upon-startup=""always""}} would also fail, although I have not tried it.

Also, note that in line 214 of {{RepositoryQueryManager.java}}, the entire contents of {{excludedKeysFromIndexing}} is logged (to debug). With millions of indexed nodes, this results in millions of IDs printed to the log, which is not desirable.


",2013/04/02 12:12 PM
MODE-1871,"Just noticed this mis-typed message text

{code}
Caused by: javax.jcr.nodetype.ConstraintViolationException: The prrimary type of a node cannot be abstract, like ""inf:section""
	at org.modeshape.jcr.AbstractJcrNode.validateChildNodeDefinition(AbstractJcrNode.java:1173)
	at org.modeshape.jcr.AbstractJcrNode.addChildNode(AbstractJcrNode.java:1045)
	at org.modeshape.jcr.AbstractJcrNode.addNode(AbstractJcrNode.java:1001)
	at org.modeshape.jcr.AbstractJcrNode.addNode(AbstractJcrNode.java:931)
	at org.modeshape.jcr.AbstractJcrNode.addNode(AbstractJcrNode.java:107)
	at au.com.infomedix.jcrloadtest.jcrserver.utils.JaxbNodeTransformer.toJcrNode(JaxbNodeTransformer.java:98) [classes:]
{code}",2013/04/02 12:20 AM
MODE-1865,"I have the test case that can demonstrate it, to be attached in a pull request. Since Doc IDs are assigned at random, the test case tries to cause the bug to happen by creating enough documents to trigger the bug.

Things work just fine if the limit is set to > 1.

The root cause is the query hint isExists being pushed down to the LHS and RHS of JOINs.",2013/03/22 9:06 PM
MODE-1859,"I am trying to create and delete a repository as part of an automated build deployment step but it doesn't seem to be able to delete the repository again after creation. The first deletion fails. A second attempt succeeds but a subsequent attempt to create a new repository fails. Stopping and starting the JBoss server at this point reverts back to a stable state and you can create the repository again.
  
The create-repository script is:
 
{noformat}
connect
batch
/subsystem=modeshape/repository=cpf4:add()
run-batch
{noformat}
  
and the delete-repository script is:
 
{noformat}
connect
batch
/subsystem=modeshape/repository=cpf4:remove
run-batch
{noformat}
 
Short output of the problem errors is:
 
{noformat}
09:47:29,700 INFO  [org.jboss.as.controller] (management-handler-thread - 2) JBAS014774: Service status report
JBAS014775:    New missing/unsatisfied dependencies:
      service jboss.modeshape.cpf4.data (missing) dependents: [service jboss.modeshape.cpf4.binaries, service jboss.modeshape.cpf4.indexes]
      service jboss.modeshape.cpf4.repository (missing) dependents: [service jboss.modeshape.cpf4.repository.reference-factory]


Failed to execute batch: undefined
silvercat% diff standalone/configuration/standalone-modeshape.xml standalone/configuration/standalone-modeshape.xml.bak
231d230
<             <repository name=""cpf4""/>
silvercat% bin/jboss-cli.sh --file=../delete_repository.cli
#1 /subsystem=modeshape/repository=cpf4:remove
The batch executed successfully.
silvercat% diff standalone/configuration/standalone-modeshape.xml standalone/configuration/standalone-modeshape.xml.bak
silvercat% bin/jboss-cli.sh --file=../create_repository.cli
#1 /subsystem=modeshape/repository=cpf4:add()
09:47:56,379 ERROR [org.jboss.as.controller.management-operation] (management-handler-thread - 4) JBAS014612: Operation (""add"") failed - address: ([
    (""subsystem"" => ""modeshape""),
    (""repository"" => ""cpf4"")
]): org.jboss.msc.service.DuplicateServiceException: Service jboss.modeshape.cpf4.repository.reference-factory is already registered
{noformat}


See forum article for more details",2013/03/18 8:27 AM
MODE-1854,"When creating nodes under explicit JTA transaction, it took much more time to save compared to non transaction.
When query functionality is disabled, the time spent in both cases are almost identical (In my real case, the transaction case even run a little bit faster than non transaction case). Therefore, I think it should be a Hibernate Search/Lucence integration issue.

*See attached profile data for details*
In the non-transaction case, there are *8* [Lucene Merge Thread] threads created.
However, in the transaction case, there are *89* [Lucene Merge Thread] threads created which almost ten times than previous case.",2013/03/13 5:58 AM
MODE-1853,"This seems to only happen in a clustered environment.

{code}
Caused by: javax.jcr.RepositoryException: java.lang.ClassCastException: org.infinispan.schematic.internal.document.ArrayEditor cannot be cast to org.infinispan.schematic.internal.document.BasicArray
[Server:server-one] 	at org.modeshape.jcr.JcrSession.save(JcrSession.java:1003) [modeshape-jcr-3.2-SNAPSHOT.jar:3.2-SNAPSHOT]
[Server:server-one] 	... 130 more
[Server:server-one] Caused by: java.lang.ClassCastException: org.infinispan.schematic.internal.document.ArrayEditor cannot be cast to org.infinispan.schematic.internal.document.BasicArray
[Server:server-one] 	at org.infinispan.schematic.internal.document.DocumentEditor.editable(DocumentEditor.java:588) [modeshape-schematic-3.2-SNAPSHOT.jar:3.2-SNAPSHOT]
[Server:server-one] 	at org.infinispan.schematic.internal.document.DocumentEditor.getArray(DocumentEditor.java:210) [modeshape-schematic-3.2-SNAPSHOT.jar:3.2-SNAPSHOT]
[Server:server-one] 	at org.modeshape.jcr.cache.document.DocumentTranslator.insertChildren(DocumentTranslator.java:849) [modeshape-jcr-3.2-SNAPSHOT.jar:3.2-SNAPSHOT]
[Server:server-one] 	at org.modeshape.jcr.cache.document.DocumentTranslator.changeChildren(DocumentTranslator.java:768) [modeshape-jcr-3.2-SNAPSHOT.jar:3.2-SNAPSHOT]
[Server:server-one] 	at org.modeshape.jcr.cache.document.WritableSessionCache.persistChanges(WritableSessionCache.java:985) [modeshape-jcr-3.2-SNAPSHOT.jar:3.2-SNAPSHOT]
[Server:server-one] 	at org.modeshape.jcr.cache.document.WritableSessionCache.save(WritableSessionCache.java:543) [modeshape-jcr-3.2-SNAPSHOT.jar:3.2-SNAPSHOT]
[Server:server-one] 	at org.modeshape.jcr.JcrSession.save(JcrSession.java:986) [modeshape-jcr-3.2-SNAPSHOT.jar:3.2-SNAPSHOT]
[Server:server-one] 	... 131 more
[Server:server-one] 
{code}",2013/03/11 9:36 PM
MODE-1848,"The existing Image sequencer, among the list of accepted mime-types, incorrectly includes the ""tiff"" mime-type, that isn't really supported by the metadata extractor.

We should remove it from the list of supported mime-types for now.",2013/03/07 4:16 AM
