bug_report_id,bug_report_desc,bug_report_time
WFCORE-2015,"*Description of problem:*
CLI is unable to connect to EAP with undefined security-realm

This is regression against EAP 7.0.0, 6.4.0 and 7.1.0.DR7.

*How reproducible:*
Always

*Steps to Reproduce:*
# /core-service=management/management-interface=http-interface:undefine-attribute(name=security-realm)
# reload

*Actual results:*
{noformat}
[mkopecky@dhcp-10-40-4-180 bin]$ ./jboss-cli.sh -c
[standalone@localhost:9990 /] /core-service=management/management-interface=http-interface:undefine-attribute(name=security-realm)
{
    ""outcome"" => ""success"",
    ""response-headers"" => {
        ""operation-requires-reload"" => true,
        ""process-state"" => ""reload-required""
    }
}
[standalone@localhost:9990 /] reload
Interrupted while pausing before reconnecting.: sleep interrupted
[disconnected /] 
[mkopecky@dhcp-10-40-4-180 bin]$ ./jboss-cli.sh -c
Failed to connect to the controller: Unable to authenticate against controller at localhost:9990: Authentication failed: none of the mechanisms presented by the server are supported
[mkopecky@dhcp-10-40-4-180 bin]$ 
{noformat}",2016/11/18 8:31 AM
WFCORE-2013,"When http management interface is secured with legacy security realm using ldap, user is not prompted to provide credentials as should be in case of BASIC http authentication mechanism. Instead {{403}} http status is returned directly.

Users won't be able to migrate their current (6.4, 7.0) configuration to 7.1 without change.",2016/11/18 4:47 AM
WFCORE-2009,"When configuring SSL/TLS for the management interfaces, you need to specify an (ssl-context or security-realm) and secure-socket-binding. When using ssl-context and secure-socket-binding, it fails with:

{code}
""WFLYCTL0380: Attribute 'security-realm' needs to be set or passed before attribute 'secure-socket-binding' can be correctly set""
{code}

failing operations:


{code:java}
batch

/subsystem=elytron/key-store=httpsKS:add(path=keystore.jks,relative-to=jboss.server.config.dir,credential-reference={clear-text=secret},type=JKS)

/subsystem=elytron/key-managers=httpsKM:add(key-store=httpsKS,algorithm=""SunX509"",credential-reference={clear-text=secret})

/subsystem=elytron/server-ssl-context=httpsSSC:add(key-managers=httpsKM,protocols=[""TLSv1.1""])

/core-service=management/management-interface=http-interface:write-attribute(name=ssl-context, value=httpsSSC)

/core-service=management/management-interface=http-interface:write-attribute(name=secure-socket-binding, value=management-https)

run-batch

reload
{code}


Oddly, this will pass (specifying BOTH ssl-context and security-realm):


{code:java}
batch

/subsystem=elytron/key-store=httpsKS:add(path=keystore.jks,relative-to=jboss.server.config.dir,credential-reference={clear-text=secret},type=JKS)

/subsystem=elytron/key-managers=httpsKM:add(key-store=httpsKS,algorithm=""SunX509"",credential-reference={clear-text=secret})

/subsystem=elytron/server-ssl-context=httpsSSC:add(key-managers=httpsKM,protocols=[""TLSv1.1""])

/core-service=management/management-interface=http-interface:write-attribute(name=ssl-context, value=httpsSSC)

/core-service=management/management-interface=http-interface:write-attribute(name=security-realm, value=ManagementDomain)

/core-service=management/management-interface=http-interface:write-attribute(name=secure-socket-binding, value=management-https)

run-batch

reload
{code}

",2016/11/17 3:50 PM
WFCORE-2007,"gc.log.*.current enclosed with double quotes in the following line (line 265) in standalone.sh is not evaluated as a wildcard by bash,
{code:java}
mv ""$JBOSS_LOG_DIR/gc.log.*.current"" ""$JBOSS_LOG_DIR/backupgc.log.current"" >/dev/null 2>&1
{code}
therefore standalone.sh fails to move an existing gc.log.<number>.current file to backupgc.log.current silently.",2016/11/17 8:54 AM
WFCORE-2006,PatchMerger when merging content modification for a module copies all of the module slots instead of the one actually modified. This may lead to undesired content overwrite.,2016/11/17 8:37 AM
WFCORE-2005,"Completion doesn't work properly for:
- ~XXX
- quoted paths
- paths that contain escaped white spaces
",2016/11/17 5:41 AM
WFCORE-2002,"All file options are impacted --file and --properties
",2016/11/16 12:56 PM
WFCORE-1993,"{code}
/core-service=platform-mbean:read-resource-description 
{
    ""outcome"" => ""success"",
    ""result"" => {
        ""description"" => ""Provides the management interface for monitoring and management of the Java virtual machine as well as the operating system on which the Java virtual machine is running. Exposes the JDK-provided JMX MBeans in the java.lang, java.nio and java.util.logging JMX domains."", ...
{code}
but java.util.logging JMX domain is not available in this service.
Not exposing those mbeans is deliberate, so change the description.",2016/11/15 11:36 AM
WFCORE-1992,"CLI interprets {} as blank object in resource attribute (correct), but as UNDEFINED in object attribute. (in model parameter of *performRuntime* of ADD operation)

{code:java}
/subsystem=elytron/properties-realm=realm:add(users-properties={path=$SOME_PATH},groups-properties={})
=> groups-properties = OBJECT {}
{code}

{code:java}
/subsystem=elytron/ldap-realm=ldap-realm8:add(dir-context=local-ldap,identity-mapping={rdn-identifier=uid,otp-credential-mapper={}})
=> otp-credential-mapper=UNDEFINED
{code}",2016/11/15 9:35 AM
WFCORE-2186,"Password encryption/hash mechanisms which contain {{salt}} attribute for filesystem-realm identity cannot be added through CLI. {{set-password}} operation fails and finishes with failure-description ""WFLYCTL0155: password may not be null"" even if password was set. It seems when {{salt}} attribute with {{bytes}} value is used then {{password}} attribute is ignored by CLI.

Following password encryption/hash mechanisms from filesystem-realm identity are affected by issue:
- {{bcrypt}}
- {{salted-simple-digest}}",2016/11/15 2:19 AM
WFCORE-1985,"While {{:read-resource-description}} returns an ordered list of resources with their descriptions for most resources, some resources do not return result consistent with this (resources ordered by alphabet).

Affected resources:
* {{/subsystem=iiop-openjdk:read-resource-description()}} returns unordered list of resources and their descriptions, while {{/subsystem=iiop-openjdk:read-resource()}} returns ordered list",2016/11/14 6:25 PM
WFCORE-1983,"It happens that the CLI does a custom parsing of the value in case ModelNode.fromString fails (whatever the exception).
The issue is that the custom parsing doesn't follow the ModelNode parsing syntax and parse everything as String. So the resulting ModelNode that is serialised and sent to the server has been transformed.

I am surprised that we don't have more of such failures. For example, when numbers are located inside custom complex structure such as: {mynumber=9999} that will be sent as an OBJECT containing a STRING although the valid DMR syntax {""my number""=>999} would be sent as an OBJECT containing an INT.

Some server side subsystems are smart enough to call into asXXX methods and not check the type?



",2016/11/14 1:56 PM
WFCORE-1982,NoData,2016/11/14 11:21 AM
WFCORE-1980,"Property file passed via CLI with --properties option does not resolve expressions in EAP 7, where in EAP 6 it works fine. ",2016/11/14 6:38 AM
WFCORE-1976,"I'm running a fresh RHEL7.3 server subscribed to the current jboss eap7 repository [1] using the rpm package. [2]

[1] subscription-manager repos --enable=jb-eap-7-for-rhel-RHEL_VERSION-server-rpms
[2] https://access.redhat.com/documentation/en/red-hat-jboss-enterprise-application-platform/version-7.0/installation-guide/#rpm_installation",2016/11/11 3:44 PM
WFCORE-1975,"The {{modulePath}} parameters passed to the {{org.wildfly.core.embedded.EmbeddedProcessFactory}} methods are are rejected if they they are actual paths with multiple directories. Only single directory names are accepted.

This is inconsistent with the normal operation of the server, with the naming of the parameter, as well as with the semantics of the {{module.path}} system property that it ultimately sets.",2016/11/11 3:22 PM
WFCORE-1971,"Autocompletition of command in CLI does not work properly when starts writing quotes {{""}} right after equal sign {{=}} and then pressing {{<TAB>}}.

I write
{{/subsystem=transactions/log-store=""}}
and then press {{TAB}}
the autocompletion finishes the name but replaces the fist letter for the existing quotes. That leads to have command like
{{/subsystem=transactions/log-store=""og-store}}
which is obviously invalid as {{""og-store}} does not exists.",2016/11/09 12:46 PM
WFCORE-1970,NoData,2016/11/09 9:21 AM
WFCORE-1968,NoData,2016/11/09 3:51 AM
WFCORE-1967,There are some HTML tags in help text when adding new path. I think these should be either removed at all or should be made working so the text is formatted properly.,2016/11/09 3:41 AM
WFCORE-1961,NoData,2016/11/08 11:46 AM
WFCORE-1951,Allows the use of the GET method to obtain the binary stream to a content in the content repository.,2016/11/07 12:52 PM
WFCORE-1949,"{code}""logging-profile"" => {
                ""description"" => ""A profile that can be assigned to a deployment for it's logging configuration."",{code}
The description should instead read {quote}A profile that can be assigned to a deployment for its logging configuration.{quote}
{code}""use-parent-handlers"" => {
                            ""type"" => BOOLEAN,
                            ""description"" => ""Specifies whether or not this logger should send its output to it's parent Logger."",{code}
The description should instead read {quote}Specifies whether or not this logger should send its output to its parent Logger.{quote}",2016/11/07 10:00 AM
WFCORE-1943,"When working on the management models we first need to check the last final release so that we can identify if we do need to increment the versions or not.

I had already added a clean version 4 ready for ongoing development.

Also on a related point it would be better if we can add the new version in one commit and then make changes in a subsequent commit - this way we can use various git tools to see the changes made otherwise the first set of changes are never visible.",2016/11/06 8:59 AM
