bug_report_id,file_diff_id
DBZ-148,86
DBZ-148,10
DBZ-148,29
DBZ-148,16
DBZ-148,87
DBZ-148,70
DBZ-148,116
DBZ-148,15
DBZ-148,24
DBZ-148,88
DBZ-148,71
DBZ-148,91
DBZ-144,24
DBZ-144,101
DBZ-144,10
DBZ-144,29
DBZ-144,87
DBZ-144,32
DBZ-139,97
DBZ-139,24
DBZ-139,101
DBZ-139,10
DBZ-139,15
DBZ-139,11
DBZ-139,117
DBZ-139,118
DBZ-139,119
DBZ-129,65
DBZ-129,10
DBZ-129,87
DBZ-129,15
DBZ-129,11
DBZ-124,120
DBZ-124,17
DBZ-124,10
DBZ-124,16
DBZ-124,28
DBZ-124,35
DBZ-124,121
DBZ-124,122
DBZ-124,123
DBZ-124,124
DBZ-124,14
DBZ-122,10
DBZ-122,28
DBZ-122,30
DBZ-114,29
DBZ-114,70
DBZ-114,93
DBZ-114,71
DBZ-112,24
DBZ-112,125
DBZ-112,65
DBZ-112,29
DBZ-112,21
DBZ-112,88
DBZ-112,71
DBZ-112,25
DBZ-112,12
DBZ-112,15
DBZ-112,5
DBZ-112,46
DBZ-112,61
DBZ-112,82
DBZ-111,97
DBZ-111,24
DBZ-111,101
DBZ-111,10
DBZ-111,15
DBZ-111,11
DBZ-111,117
DBZ-111,118
DBZ-111,119
DBZ-108,126
DBZ-108,127
DBZ-107,97
DBZ-107,24
DBZ-107,101
DBZ-107,10
DBZ-107,15
DBZ-107,11
DBZ-107,117
DBZ-107,118
DBZ-107,119
DBZ-103,101
DBZ-103,10
DBZ-103,11
DBZ-103,118
DBZ-102,65
DBZ-102,87
DBZ-102,128
DBZ-102,15
DBZ-102,129
DBZ-102,46
DBZ-102,115
DBZ-102,130
DBZ-102,16
DBZ-102,70
DBZ-102,71
DBZ-102,91
DBZ-102,131
DBZ-100,88
DBZ-100,71
DBZ-100,89
DBZ-100,132
DBZ-100,61
DBZ-94,29
DBZ-94,15
DBZ-94,21
DBZ-94,46
DBZ-91,10
DBZ-91,71
DBZ-91,61
DBZ-91,16
DBZ-91,93
DBZ-91,133
DBZ-91,134
DBZ-91,135
DBZ-91,126
DBZ-91,82
DBZ-87,93
DBZ-87,71
DBZ-87,133
DBZ-87,135
DBZ-87,92
DBZ-87,16
DBZ-87,35
DBZ-86,24
DBZ-86,10
DBZ-86,128
DBZ-86,15
DBZ-86,11
DBZ-86,88
DBZ-86,16
DBZ-85,93
DBZ-85,71
DBZ-85,133
DBZ-85,135
DBZ-85,92
DBZ-85,16
DBZ-85,35
DBZ-84,93
DBZ-84,71
DBZ-84,133
DBZ-84,135
DBZ-84,92
DBZ-84,16
DBZ-84,35
DBZ-82,24
DBZ-82,10
DBZ-82,128
DBZ-82,15
DBZ-82,11
DBZ-82,88
DBZ-82,16
DBZ-77,101
DBZ-77,65
DBZ-77,16
DBZ-77,11
DBZ-77,5
DBZ-77,3
DBZ-77,14
DBZ-77,4
DBZ-77,136
DBZ-77,30
DBZ-77,19
DBZ-77,22
DBZ-77,24
DBZ-77,10
DBZ-77,87
DBZ-77,15
DBZ-77,89
DBZ-77,137
DBZ-77,115
DBZ-76,97
DBZ-76,24
DBZ-76,101
DBZ-76,10
DBZ-76,15
DBZ-76,11
DBZ-76,117
DBZ-76,118
DBZ-76,119
DBZ-73,101
DBZ-73,65
DBZ-73,16
DBZ-73,11
DBZ-73,5
DBZ-73,3
DBZ-73,14
DBZ-73,4
DBZ-73,136
DBZ-73,30
DBZ-73,19
DBZ-73,22
DBZ-73,24
DBZ-73,10
DBZ-73,87
DBZ-73,15
DBZ-73,89
DBZ-73,137
DBZ-73,115
DBZ-72,97
DBZ-72,16
DBZ-72,87
DBZ-72,128
DBZ-72,35
DBZ-72,138
DBZ-72,133
DBZ-72,135
DBZ-72,92
DBZ-72,139
DBZ-72,82
DBZ-71,96
DBZ-71,97
DBZ-71,82
DBZ-64,88
DBZ-64,61
DBZ-61,88
DBZ-61,61
DBZ-57,33
DBZ-57,36
DBZ-57,12
DBZ-57,140
DBZ-57,141
DBZ-55,10
DBZ-55,11
DBZ-55,28
DBZ-55,88
DBZ-55,142
DBZ-55,143
DBZ-55,61
DBZ-49,33
DBZ-49,36
DBZ-49,85
DBZ-49,144
DBZ-43,10
DBZ-43,88
DBZ-43,111
DBZ-43,145
DBZ-43,2
DBZ-43,61
DBZ-28,10
DBZ-28,28
DBZ-26,10
DBZ-26,65
DBZ-26,28
DBZ-26,122
DBZ-26,123
DBZ-26,146
DBZ-26,23
