file_diff,commit_time,file_diff_id
"@@ -29,7 +29,10 @@
 import org.jboss.hal.core.mvp.HasPresenter;
 import org.jboss.hal.dmr.ModelNode;
 import org.jboss.hal.dmr.NamedNode;
+import org.jboss.hal.dmr.Operation;
+import org.jboss.hal.dmr.ResourceAddress;
 import org.jboss.hal.meta.Metadata;
+import org.jboss.hal.meta.StatementContext;
 import org.jboss.hal.resources.Ids;
 import org.jboss.hal.resources.Names;
 import org.jboss.hal.resources.Resources;
@@ -43,17 +46,14 @@
 
 public class LdapKeyStoreElement implements IsElement<HTMLElement>, Attachable, HasPresenter<OtherSettingsPresenter> {
 
-    private final Metadata metadata;
     private final Table<NamedNode> table;
     private final Form<NamedNode> attributes;
     private final Form<ModelNode> newItemTemplate;
     private final HTMLElement root;
     private OtherSettingsPresenter presenter;
 
-    public LdapKeyStoreElement(final Metadata metadata, final TableButtonFactory tableButtonFactory,
-            final Resources resources) {
-        this.metadata = metadata;
-
+    public LdapKeyStoreElement(final StatementContext statementContext, final Metadata metadata,
+            final TableButtonFactory tableButtonFactory, final Resources resources) {
         this.table = new ModelNodeTable.Builder<NamedNode>(Ids.ELYTRON_LDAP_KEY_STORE_TABLE,
                 metadata)
                 .button(tableButtonFactory.add(Ids.ELYTRON_LDAP_KEY_STORE_ADD, Names.LDAP_KEY_STORE,
@@ -67,14 +67,29 @@ public LdapKeyStoreElement(final Metadata metadata, final TableButtonFactory tab
         this.attributes = new ModelNodeForm.Builder<NamedNode>(Ids.ELYTRON_LDAP_KEY_STORE_ATTRIBUTES_FORM, metadata)
                 .onSave(((form, changedValues) -> presenter.saveLdapKeyStore(form.getModel().getName(), changedValues)))
                 .build();
-        Metadata nitMetadata = metadata.forComplexAttribute(NEW_ITEM_TEMPLATE, false);
+
+        Metadata nitMetadata = metadata.forComplexAttribute(NEW_ITEM_TEMPLATE);
         this.newItemTemplate = new ModelNodeForm.Builder<>(Ids.ELYTRON_LDAP_KEY_STORE_NEW_ITEM_TEMPLATE_FORM,
                 nitMetadata)
                 .include(NEW_ITEM_PATH, NEW_ITEM_RDN, NEW_ITEM_ATTRIBUTES)
                 .unsorted()
                 .customFormItem(NEW_ITEM_ATTRIBUTES, (attributeDescription) -> new NewItemAttributesItem())
+                .singleton(
+                        () -> {
+                            Operation operation = null;
+                            if (table.selectedRow() != null) {
+                                ResourceAddress address = AddressTemplates.LDAP_KEY_STORE_ADDRESS.resolve(statementContext,
+                                        table.selectedRow().getName());
+                                operation = new Operation.Builder(address, READ_ATTRIBUTE_OPERATION)
+                                        .param(NAME, NEW_ITEM_TEMPLATE)
+                                        .build();
+                            }
+                            return operation;
+                        },
+                        () -> presenter.addNewItemTemplate(table.selectedRow().getName()))
                 .onSave((form, changedValues) -> presenter.saveNewItemTemplate(table.selectedRow().getName(),
                         changedValues))
+                .prepareReset(form -> presenter.resetNewItemTemplate(table.selectedRow().getName(), form))
                 .build();
 
         Tabs tabs = new Tabs();",2017-06-30T20:05:17Z,174
"@@ -27,6 +27,7 @@
 import com.gwtplatform.mvp.client.annotations.ProxyCodeSplit;
 import com.gwtplatform.mvp.client.proxy.ProxyPlace;
 import org.jboss.hal.ballroom.form.Form;
+import org.jboss.hal.ballroom.form.Form.FinishReset;
 import org.jboss.hal.core.ComplexAttributeOperations;
 import org.jboss.hal.core.CrudOperations;
 import org.jboss.hal.core.OperationFactory;
@@ -290,8 +291,23 @@ void saveLdapKeyStore(final String name, final Map<String, Object> changedValues
                 this::reloadLdapKeyStores);
     }
 
+    void addNewItemTemplate(final String ldapKeyStore) {
+        ca.add(Ids.ELYTRON_LDAP_KEY_STORE_NEW_ITEM_TEMPLATE_ADD, ldapKeyStore, NEW_ITEM_TEMPLATE,
+                AddressTemplates.LDAP_KEY_STORE_ADDRESS, this::reloadLdapKeyStores);
+    }
+
     void saveNewItemTemplate(final String ldapKeyStore, final Map<String, Object> changedValues) {
         ca.save(ldapKeyStore, NEW_ITEM_TEMPLATE, AddressTemplates.LDAP_KEY_STORE_ADDRESS, changedValues,
                 this::reloadLdapKeyStores);
     }
+
+    void resetNewItemTemplate(final String ldapKeyStore, final Form<ModelNode> form) {
+        ca.reset(ldapKeyStore, NEW_ITEM_TEMPLATE, AddressTemplates.LDAP_KEY_STORE_ADDRESS,
+                new FinishReset<ModelNode>(form) {
+                    @Override
+                    public void afterReset(final Form<ModelNode> form) {
+                        reloadLdapKeyStores();
+                    }
+                });
+    }
 }",2017-06-30T20:05:17Z,116
"@@ -27,6 +27,7 @@
 import org.jboss.hal.dmr.NamedNode;
 import org.jboss.hal.meta.Metadata;
 import org.jboss.hal.meta.MetadataRegistry;
+import org.jboss.hal.meta.StatementContext;
 import org.jboss.hal.resources.Ids;
 import org.jboss.hal.resources.Names;
 import org.jboss.hal.resources.Resources;
@@ -75,8 +76,9 @@ public class OtherSettingsView extends HalViewImpl implements OtherSettingsPrese
     private OtherSettingsPresenter presenter;
 
     @Inject
-    OtherSettingsView(final MetadataRegistry metadataRegistry, final TableButtonFactory tableButtonFactory, final
-            Resources resources) {
+    OtherSettingsView(final StatementContext statementContext, final MetadataRegistry metadataRegistry,
+            final TableButtonFactory tableButtonFactory, final
+    Resources resources) {
 
         VerticalNavigation navigation = new VerticalNavigation();
         registerAttachable(navigation);
@@ -124,16 +126,16 @@ public class OtherSettingsView extends HalViewImpl implements OtherSettingsPrese
 
         // NewItemAttributesItem newItemAttributes = new NewItemAttributesItem();
         Metadata metadata = metadataRegistry.lookup(AddressTemplates.LDAP_KEY_STORE_ADDRESS);
-        ldapKeyStoreElement = new LdapKeyStoreElement(metadata, tableButtonFactory, resources);
-                // new ResourceView.Builder(tableButtonFactory, primaryIdStores,
-                // Ids.ELYTRON_LDAP_KEY_STORE, ""LDAP Key Store"", LDAP_KEY_STORE_ADDRESS, this,
-                // () -> presenter.reload())
-                // .setNavigation(navigation)
-                // .setMetadataRegistry(metadataRegistry)
-                // .setTableAddCallback((name, address) -> presenter.reload())
-                // .build()
-                // .addComplexAttributeAsTab(""new-item-template"", singletonList(newItemAttributes))
-                // .create();
+        ldapKeyStoreElement = new LdapKeyStoreElement(statementContext, metadata, tableButtonFactory, resources);
+        // new ResourceView.Builder(tableButtonFactory, primaryIdStores,
+        // Ids.ELYTRON_LDAP_KEY_STORE, ""LDAP Key Store"", LDAP_KEY_STORE_ADDRESS, this,
+        // () -> presenter.reload())
+        // .setNavigation(navigation)
+        // .setMetadataRegistry(metadataRegistry)
+        // .setTableAddCallback((name, address) -> presenter.reload())
+        // .build()
+        // .addComplexAttributeAsTab(""new-item-template"", singletonList(newItemAttributes))
+        // .create();
         navigation.addSecondary(primaryIdStores, Ids.ELYTRON_LDAP_KEY_STORE, Names.LDAP_KEY_STORE,
                 ldapKeyStoreElement.asElement());
 ",2017-06-30T20:05:17Z,175
"@@ -16,14 +16,22 @@
 package org.jboss.hal.core;
 
 import java.util.Map;
+import javax.annotation.Nullable;
 import javax.inject.Inject;
 import javax.inject.Provider;
 
+import com.google.gwt.safehtml.shared.SafeHtml;
 import com.google.web.bindery.event.shared.EventBus;
 import jsinterop.annotations.JsIgnore;
 import org.jboss.gwt.flow.Progress;
 import org.jboss.hal.ballroom.LabelBuilder;
+import org.jboss.hal.ballroom.dialog.DialogFactory;
+import org.jboss.hal.ballroom.form.Form;
+import org.jboss.hal.core.mbui.dialog.AddResourceDialog;
+import org.jboss.hal.core.mbui.form.ModelNodeForm;
 import org.jboss.hal.dmr.Composite;
+import org.jboss.hal.dmr.ModelNode;
+import org.jboss.hal.dmr.Operation;
 import org.jboss.hal.dmr.ResourceAddress;
 import org.jboss.hal.dmr.dispatch.Dispatcher;
 import org.jboss.hal.meta.AddressTemplate;
@@ -34,6 +42,13 @@
 import org.jboss.hal.resources.Resources;
 import org.jboss.hal.spi.Callback;
 import org.jboss.hal.spi.Footer;
+import org.jboss.hal.spi.Message;
+import org.jboss.hal.spi.MessageEvent;
+
+import static org.jboss.hal.dmr.ModelDescriptionConstants.NAME;
+import static org.jboss.hal.dmr.ModelDescriptionConstants.UNDEFINE_ATTRIBUTE_OPERATION;
+import static org.jboss.hal.dmr.ModelDescriptionConstants.VALUE;
+import static org.jboss.hal.dmr.ModelDescriptionConstants.WRITE_ATTRIBUTE_OPERATION;
 
 /**
  * Class to create, read, update and delete complex attributes. This class mirrors some of the methods from {@link
@@ -69,6 +84,69 @@ public ComplexAttributeOperations(final EventBus eventBus,
     }
 
 
+    // ------------------------------------------------------ (c)reate with dialog
+
+    /**
+     * Opens an add-resource-dialog for the given complex attribute. The dialog contains fields for all required
+     * attributes. When clicking ""Add"", a new complex attribute created and written to the specified resource.
+     * After the resource has been updated, a success message is fired and the specified callback is executed.
+     *
+     * @param id               the id used for the add resource dialog
+     * @param resource         the resource name
+     * @param complexAttribute the name of the complex attribute
+     * @param template         the address template which is resolved against the current statement context and the
+     *                         resource name to get the resource address for the operation
+     * @param callback         the callback executed after the resource has been added
+     */
+    @JsIgnore
+    public void add(final String id, final String resource, final String complexAttribute,
+            final AddressTemplate template, final Callback callback) {
+        metadataProcessor.lookup(template, progress.get(), new SuccessfulMetadataCallback(eventBus, resources) {
+            @Override
+            public void onMetadata(final Metadata metadata) {
+                String type = labelBuilder.label(complexAttribute);
+                Metadata caMetadata = metadata.forComplexAttribute(complexAttribute);
+                Form<ModelNode> form = new ModelNodeForm.Builder<>(id, caMetadata)
+                        .addOnly()
+                        .requiredOnly()
+                        .build();
+                AddResourceDialog dialog = new AddResourceDialog(resources.messages().addResourceTitle(type), form,
+                        (name, model) -> add(resource, complexAttribute, template, model, callback));
+                dialog.show();
+            }
+        });
+    }
+
+
+    // ------------------------------------------------------ (c)reate operation
+
+    /**
+     * Writes the payload of the complext attribute to the specified resource. After the resource has been updated,
+     * a success message is fired and the specified callback is executed.
+     *
+     * @param resource         the resource name
+     * @param complexAttribute the name of the complex attribute
+     * @param template         the address template which is resolved against the current statement context and the
+     *                         resource name to get the resource address for the operation
+     * @param payload          the optional payload for the complex attribute (may be null or undefined)
+     * @param callback         the callback executed after the resource has been added
+     */
+    @JsIgnore
+    public void add(final String resource, final String complexAttribute, final AddressTemplate template,
+            @Nullable final ModelNode payload, final Callback callback) {
+        ResourceAddress address = template.resolve(statementContext, resource);
+        Operation operation = new Operation.Builder(address, WRITE_ATTRIBUTE_OPERATION)
+                .param(NAME, complexAttribute)
+                .param(VALUE, payload)
+                .build();
+        dispatcher.execute(operation, result -> {
+            String type = labelBuilder.label(complexAttribute);
+            MessageEvent.fire(eventBus, Message.success(resources.messages().addSingleResourceSuccess(type)));
+            callback.execute();
+        });
+    }
+
+
     // ------------------------------------------------------ (u)pdate using address
 
     /**
@@ -85,14 +163,14 @@ public ComplexAttributeOperations(final EventBus eventBus,
      * @param callback         the callback executed after the resource has been saved
      */
     @JsIgnore
-    public void save(String resource, String complexAttribute, final AddressTemplate template,
+    public void save(final String resource, final String complexAttribute, final AddressTemplate template,
             final Map<String, Object> changedValues, final Callback callback) {
         metadataProcessor.lookup(template, progress.get(), new SuccessfulMetadataCallback(eventBus, resources) {
             @Override
             public void onMetadata(final Metadata metadata) {
                 ResourceAddress address = template.resolve(statementContext, resource);
-                Metadata caMeta = metadata.forComplexAttribute(complexAttribute);
-                save(complexAttribute, address, changedValues, caMeta, callback);
+                Metadata caMetadata = metadata.forComplexAttribute(complexAttribute);
+                save(complexAttribute, address, changedValues, caMetadata, callback);
             }
         });
     }
@@ -113,14 +191,45 @@ public void onMetadata(final Metadata metadata) {
      * @param callback         the callback executed after the resource has been saved
      */
     @JsIgnore
-    public void save(String complexAttribute, final ResourceAddress address, final Map<String, Object> changedValues,
-            final Metadata metadata, final Callback callback) {
+    public void save(final String complexAttribute, final ResourceAddress address,
+            final Map<String, Object> changedValues, final Metadata metadata, final Callback callback) {
         Composite operations = operationFactory(complexAttribute).fromChangeSet(address, changedValues, metadata);
         crud.save(operations, resources.messages().modifySingleResourceSuccess(labelBuilder.label(complexAttribute)),
                 callback);
     }
 
 
+    // ------------------------------------------------------ (u) reset using template
+
+    /**
+     * Undefines the complex attribute. After the attribute has been undefined a standard success message is fired and
+     * the specified callback is executed.
+     *
+     * @param resource         the resource name
+     * @param complexAttribute the name of the complex attribute
+     * @param template         the address template which is resolved against the current statement context and the
+     *                         resource name to get the resource address for the operation
+     * @param callback         the callback executed after the complex attribute has been undefined
+     */
+    @JsIgnore
+    public void reset(final String resource, final String complexAttribute, final AddressTemplate template,
+            final Callback callback) {
+        String type = labelBuilder.label(complexAttribute);
+        ResourceAddress address = template.resolve(statementContext, resource);
+        Operation operation = new Operation.Builder(address, UNDEFINE_ATTRIBUTE_OPERATION)
+                .param(NAME, complexAttribute)
+                .build();
+        SafeHtml question = resources.messages().resetComplexAttributeConfirmationQuestion(type);
+        DialogFactory.showConfirmation(
+                resources.messages().resetConfirmationTitle(type), question,
+                () -> dispatcher.execute(operation, result -> {
+                    MessageEvent.fire(eventBus,
+                            Message.success(resources.messages().resetComplexAttributeSuccess(type)));
+                    callback.execute();
+                }));
+    }
+
+
     // ------------------------------------------------------ helper methods
 
     private OperationFactory operationFactory(String complexAttribute) {",2017-06-30T20:05:17Z,176
"@@ -588,7 +588,14 @@ public void attach() {
             asElement().appendChild(alert.asElement());
         }
         if (singleton && ping != null && ping.get() != null) {
-            Core.INSTANCE.dispatcher().execute(ping.get(), result -> flip(READONLY), (op, failure) -> flip(EMPTY));
+            Core.INSTANCE.dispatcher().execute(ping.get(),
+                    result -> {
+                        if (!result.isDefined()) {
+                            flip(EMPTY);
+                        } else {
+                            flip(READONLY);
+                        }
+                    }, (op, failure) -> flip(EMPTY));
         }
     }
 ",2017-06-30T20:05:17Z,60
"@@ -215,6 +215,8 @@ public interface Ids {
     String ELYTRON_LDAP_KEY_STORE_ADD = build(ELYTRON_LDAP_KEY_STORE, ADD_SUFFIX);
     String ELYTRON_LDAP_KEY_STORE_ATTRIBUTES_FORM = build(ELYTRON_LDAP_KEY_STORE, ""attributes"", FORM_SUFFIX);
     String ELYTRON_LDAP_KEY_STORE_ATTRIBUTES_TAB = build(ELYTRON_LDAP_KEY_STORE, ""attributes"", TAB_SUFFIX);
+    String ELYTRON_LDAP_KEY_STORE_NEW_ITEM_TEMPLATE_ADD = build(ELYTRON_LDAP_KEY_STORE, ""new-item-template"",
+            ADD_SUFFIX);
     String ELYTRON_LDAP_KEY_STORE_NEW_ITEM_TEMPLATE_FORM = build(ELYTRON_LDAP_KEY_STORE, ""new-item-template"",
             FORM_SUFFIX);
     String ELYTRON_LDAP_KEY_STORE_NEW_ITEM_TEMPLATE_TAB = build(ELYTRON_LDAP_KEY_STORE, ""new-item-template"",",2017-06-30T20:05:17Z,111
"@@ -259,6 +259,8 @@ public interface Messages extends com.google.gwt.i18n.client.Messages {
     SafeHtml requiredMarker();
     String requires(String requires);
     String resetConfirmationTitle(String type);
+    SafeHtml resetComplexAttributeConfirmationQuestion(String name);
+    SafeHtml resetComplexAttributeSuccess(String name);
     SafeHtml resetConfirmationQuestion(String name);
     SafeHtml resetResourceSuccess(String type, String name);
     SafeHtml resetSingletonConfirmationQuestion();",2017-06-30T20:05:17Z,94
"@@ -202,6 +202,8 @@ replicationStrategy=<strong>Replication</strong><br/>When using replication, the
 requiredHelp=Required fields are marked with <abbr class=""req"" title=""required""><i class=""fa fa-asterisk""></i></abbr>
 requiredMarker=<abbr class=""req"" title=""required""><i class=""fa fa-asterisk""></i></abbr>
 requires=Requires {0}
+resetComplexAttributeConfirmationQuestion=Do you really want to reset {0}?
+resetComplexAttributeSuccess=<strong>{0}</strong> successfully reset.
 resetConfirmationTitle=Reset {0}
 resetConfirmationQuestion=Do you really want to reset <strong>{0}</strong>? All non-required attributes will be undefined or reset to its default value (if any).
 resetResourceSuccess={0} <strong>{1}</strong> successfully reset.",2017-06-30T20:05:17Z,94
"@@ -22,9 +22,7 @@
 
 import com.google.web.bindery.event.shared.EventBus;
 import com.gwtplatform.mvp.shared.proxy.PlaceRequest;
-import elemental.client.Browser;
 import elemental.dom.Element;
-import org.jboss.hal.ballroom.dialog.DialogFactory;
 import org.jboss.hal.core.datasource.DataSource;
 import org.jboss.hal.core.finder.Finder;
 import org.jboss.hal.core.finder.FinderColumn;
@@ -66,6 +64,7 @@ public class DataSourceColumn extends FinderColumn<DataSource> {
     private final EventBus eventBus;
     private final StatementContext statementContext;
     private final Resources resources;
+    private final Finder finder;
     private Server server;
 
     @Inject
@@ -86,8 +85,10 @@ public DataSourceColumn(final ServerActions serverActions,
         this.eventBus = eventBus;
         this.statementContext = statementContext;
         this.resources = resources;
+        this.finder = finder;
 
         setItemsProvider((context, callback) -> {
+            // TODO Support standalone mode
             ResourceAddress serverAddress = AddressTemplate.of(""/{selected.host}/{selected.server}"")
                     .resolve(statementContext);
             ResourceAddress dataSourceAddress = DATA_SOURCE_SUBSYSTEM_TEMPLATE.resolve(statementContext);
@@ -203,27 +204,33 @@ ResourceAddress dataSourceAddress(DataSource dataSource) {
                 : DATA_SOURCE_TEMPLATE.resolve(statementContext, dataSource.getName());
     }
 
+    private ResourceAddress dataSourceConfigurationAddress(DataSource dataSource) {
+        String profile = server.get(PROFILE_NAME).asString();
+        return AddressTemplate.of(""/profile=*/subsystem=datasources/data-source=*"")
+                .resolve(statementContext, profile, dataSource.getName());
+    }
+
     void enableDataSource(DataSource dataSource) {
-        Browser.getWindow().alert(Names.NYI);
+        ResourceAddress address = dataSourceConfigurationAddress(dataSource);
+        Operation operation = new Operation.Builder(WRITE_ATTRIBUTE_OPERATION, address)
+                .param(NAME, ENABLED)
+                .param(VALUE, true)
+                .build();
+        dispatcher.execute(operation, result -> {
+            MessageEvent.fire(eventBus, Message.success(resources.messages().dataSourceEnabled(dataSource.getName())));
+            finder.refresh();
+        });
     }
 
     void enableStatistics(DataSource dataSource) {
-        if (dataSource.isEnabled()) {
-            DialogFactory.confirmation(resources.constants().enableStatistics(),
-                    resources.messages().enableStatisticsOnEnabledDataSource(dataSource.getName(),
-                            statementContext.selectedServer()),
-                    () -> {
-                        Browser.getWindow().alert(Names.NYI);
-                        return true;
-                    });
-        } else {
-            DialogFactory.confirmation(resources.constants().enableStatistics(),
-                    resources.messages().enableStatisticsOnDisabledDataSource(dataSource.getName(),
-                            statementContext.selectedServer()),
-                    () -> {
-                        Browser.getWindow().alert(Names.NYI);
-                        return true;
-                    });
-        }
+        ResourceAddress address = dataSourceConfigurationAddress(dataSource);
+        Operation operation = new Operation.Builder(WRITE_ATTRIBUTE_OPERATION, address)
+                .param(NAME, STATISTICS_ENABLED)
+                .param(VALUE, true)
+                .build();
+        dispatcher.execute(operation, result -> {
+            MessageEvent.fire(eventBus, Message.success(resources.messages().statisticsEnabled(dataSource.getName())));
+            finder.refresh();
+        });
     }
 }
\ No newline at end of file",2016-07-17T16:10:52Z,246
"@@ -85,20 +85,12 @@ class DataSourcePreview extends PreviewContent<DataSource> {
         previewBuilder().add(needsRestartWarning);
 
         noStatisticsWarning = new Alert(Icons.WARNING,
-                new SafeHtmlBuilder()
-                        .append(resources.messages().dataSourceStatisticsDisabled(dataSource.getName()))
-                        .appendEscaped("" "")
-                        .append(resources.messages().staleStatistics())
-                        .toSafeHtml(),
+                resources.messages().dataSourceStatisticsDisabled(dataSource.getName()),
                 resources.constants().enableStatistics(), event -> column.enableStatistics(dataSource));
         previewBuilder().add(noStatisticsWarning);
 
         disabledWarning = new Alert(Icons.WARNING,
-                new SafeHtmlBuilder()
-                        .append(resources.messages().dataSourceDisabledNoStatistics(dataSource.getName()))
-                        .appendEscaped("" "")
-                        .append(resources.messages().staleStatistics())
-                        .toSafeHtml(),
+                resources.messages().dataSourceDisabledNoStatistics(dataSource.getName()),
                 resources.constants().enable(), event -> column.enableDataSource(dataSource));
         previewBuilder().add(disabledWarning);
 ",2016-07-17T16:10:52Z,247
