bug_report_id,file_diff_id
TEIID-2260,45
TEIID-2260,26
TEIID-2260,46
TEIID-2260,13
TEIID-2260,47
TEIID-2260,48
TEIID-2260,35
TEIID-2260,49
TEIID-2260,50
TEIID-2260,29
TEIID-2260,36
TEIID-2260,10
TEIID-2260,2
TEIID-2260,24
TEIID-2260,23
TEIID-2260,51
TEIID-2260,52
TEIID-2260,53
TEIID-2294,54
TEIID-2294,31
TEIID-2294,55
TEIID-2294,56
TEIID-2294,48
TEIID-2294,39
TEIID-2294,32
TEIID-4125,83
TEIID-4125,84
TEIID-4125,85
TEIID-4125,86
TEIID-4125,87
TEIID-4125,88
TEIID-4125,89
TEIID-4125,90
TEIID-4125,91
TEIID-4125,92
TEIID-2999,97
TEIID-2999,98
TEIID-3219,99
TEIID-3219,100
TEIID-3219,101
TEIID-3204,102
TEIID-3204,103
TEIID-3204,104
TEIID-3204,105
TEIID-3204,90
TEIID-3900,122
TEIID-3895,12
TEIID-3895,123
TEIID-3895,124
TEIID-3895,125
TEIID-3409,126
TEIID-3409,127
TEIID-3409,9
TEIID-3409,128
TEIID-3409,129
TEIID-3409,130
TEIID-3197,89
TEIID-3055,73
TEIID-3055,5
TEIID-3055,131
TEIID-3055,44
TEIID-3012,132
TEIID-3012,133
TEIID-3012,97
TEIID-3012,134
TEIID-3012,41
TEIID-3012,135
TEIID-2799,6
TEIID-2799,42
TEIID-2799,17
TEIID-2799,28
TEIID-2799,15
TEIID-2799,138
TEIID-2799,139
TEIID-2799,140
TEIID-2799,141
TEIID-2799,142
TEIID-2799,143
TEIID-2799,21
TEIID-2799,1
TEIID-2799,7
TEIID-2799,144
TEIID-2486,102
TEIID-2486,104
