file_diff,commit_time,file_diff_id
"@@ -18,13 +18,28 @@
 
 package io.undertow.protocols.ssl;
 
+import java.io.IOException;
+import java.io.InterruptedIOException;
+import java.nio.ByteBuffer;
+import java.nio.channels.ClosedChannelException;
+import java.nio.channels.FileChannel;
+import java.util.ArrayList;
+import java.util.List;
+import java.util.concurrent.TimeUnit;
+
+import javax.net.ssl.SSLEngine;
+import javax.net.ssl.SSLEngineResult;
+import javax.net.ssl.SSLException;
+import javax.net.ssl.SSLSession;
+
 import io.undertow.UndertowLogger;
+import io.undertow.connector.ByteBufferPool;
+import io.undertow.connector.PooledByteBuffer;
+import io.undertow.server.DefaultByteBufferPool;
 import org.xnio.Buffers;
 import org.xnio.ChannelListener;
 import org.xnio.ChannelListeners;
 import org.xnio.IoUtils;
-import io.undertow.connector.ByteBufferPool;
-import io.undertow.connector.PooledByteBuffer;
 import org.xnio.StreamConnection;
 import org.xnio.XnioIoThread;
 import org.xnio.XnioWorker;
@@ -40,25 +55,15 @@
 import org.xnio.conduits.StreamSourceConduit;
 import org.xnio.conduits.WriteReadyHandler;
 
-import javax.net.ssl.SSLEngine;
-import javax.net.ssl.SSLEngineResult;
-import javax.net.ssl.SSLException;
-import javax.net.ssl.SSLSession;
-import java.io.IOException;
-import java.io.InterruptedIOException;
-import java.nio.ByteBuffer;
-import java.nio.channels.ClosedChannelException;
-import java.nio.channels.FileChannel;
-import java.util.ArrayList;
-import java.util.List;
-import java.util.concurrent.TimeUnit;
-
 import static org.xnio.Bits.allAreClear;
 import static org.xnio.Bits.allAreSet;
 import static org.xnio.Bits.anyAreSet;
 
 /**
+ * Conduit for SSL connections.
+ *
  * @author Stuart Douglas
+ * @author Flavia Rainone
  */
 public class SslConduit implements StreamSourceConduit, StreamSinkConduit {
 
@@ -117,6 +122,13 @@ public class SslConduit implements StreamSourceConduit, StreamSinkConduit {
     private static final int FLAG_READ_CLOSED = 1 << 14;
     public static final ByteBuffer EMPTY_BUFFER = ByteBuffer.allocate(0);
 
+    /**
+     * Buffer pool created and used only when large fragments handling is
+     * enabled in the underlying SSL Engine. When this happens, we need
+     * a specific buffer with expanded capacity.
+     */
+    private static ByteBufferPool EXPANDED_BUFFER_POOL;
+
 
     private final UndertowSslConnection connection;
     private final StreamConnection delegate;
@@ -898,21 +910,27 @@ private long doWrap(ByteBuffer[] userBuffers, int off, int len) throws IOExcepti
             wrappedData = bufferPool.allocate();
         }
         try {
-            SSLEngineResult result = null;
-            while (result == null || (result.getHandshakeStatus() == SSLEngineResult.HandshakeStatus.NEED_WRAP && result.getStatus() != SSLEngineResult.Status.BUFFER_OVERFLOW)) {
-                if (userBuffers == null) {
-                    result = engine.wrap(EMPTY_BUFFER, wrappedData.getBuffer());
-                } else {
-                    result = engine.wrap(userBuffers, off, len, wrappedData.getBuffer());
-                }
-            }
-            wrappedData.getBuffer().flip();
+            SSLEngineResult result = wrapAndFlip(userBuffers, off, len);
 
             if (result.getStatus() == SSLEngineResult.Status.BUFFER_UNDERFLOW) {
-                throw new IOException(""underflow""); //todo: can this happen?
+                throw new IOException(""underflow""); // unexpected result
             } else if (result.getStatus() == SSLEngineResult.Status.BUFFER_OVERFLOW) {
-                if (!wrappedData.getBuffer().hasRemaining()) { //if an earlier wrap suceeded we ignore this
-                    throw new IOException(""overflow""); //todo: handle properly
+                //if an earlier wrap succeeded we ignore this
+                if (!wrappedData.getBuffer().hasRemaining()) {
+                    if (wrappedData.getBuffer().capacity() < engine.getSession().getPacketBufferSize()) {
+                        wrappedData.close();
+                        final int bufferSize = engine.getSession().getPacketBufferSize();
+                        UndertowLogger.REQUEST_IO_LOGGER.tracev(
+                                ""Expanded buffer enabled due to overflow with empty buffer, buffer size is %s"", bufferSize);
+                        if (EXPANDED_BUFFER_POOL == null || EXPANDED_BUFFER_POOL.getBufferSize() < bufferSize)
+                            EXPANDED_BUFFER_POOL = new DefaultByteBufferPool(false, bufferSize, -1, 12);
+                        wrappedData = EXPANDED_BUFFER_POOL.allocate();
+                        result = wrapAndFlip(userBuffers, off, len);
+                        if (result.getStatus() == SSLEngineResult.Status.BUFFER_OVERFLOW &&
+                                !wrappedData.getBuffer().hasRemaining())
+                            throw new IOException(""overflow""); // unexpected result
+                    }
+                    else throw new IOException(""overflow""); // unexpected result
                 }
             }
             //attempt to write it out, if we fail we just return
@@ -952,6 +970,19 @@ private long doWrap(ByteBuffer[] userBuffers, int off, int len) throws IOExcepti
         }
     }
 
+    private SSLEngineResult wrapAndFlip(ByteBuffer[] userBuffers, int off, int len) throws IOException {
+        SSLEngineResult result = null;
+        while (result == null || (result.getHandshakeStatus() == SSLEngineResult.HandshakeStatus.NEED_WRAP && result.getStatus() != SSLEngineResult.Status.BUFFER_OVERFLOW)) {
+            if (userBuffers == null) {
+                result = engine.wrap(EMPTY_BUFFER, wrappedData.getBuffer());
+            } else {
+                result = engine.wrap(userBuffers, off, len, wrappedData.getBuffer());
+            }
+        }
+        wrappedData.getBuffer().flip();
+        return result;
+    }
+
     private boolean handleHandshakeResult(SSLEngineResult result) throws IOException {
         switch (result.getHandshakeStatus()) {
             case NEED_TASK: {",2020-03-10T19:18:10Z,185
"@@ -0,0 +1,60 @@
+/*
+ * JBoss, Home of Professional Open Source.
+ * Copyright 2019 Red Hat, Inc., and individual contributors
+ * as indicated by the @author tags.
+ *
+ * Licensed under the Apache License, Version 2.0 (the ""License"");
+ * you may not use this file except in compliance with the License.
+ * You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ *  Unless required by applicable law or agreed to in writing, software
+ *  distributed under the License is distributed on an ""AS IS"" BASIS,
+ *  WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ *  See the License for the specific language governing permissions and
+ *  limitations under the License.
+ */
+
+package io.undertow.server.handlers.session;
+
+import java.nio.ByteBuffer;
+
+import javax.net.ssl.SSLContext;
+import javax.net.ssl.SSLEngine;
+
+import io.undertow.testutils.DefaultServer;
+import io.undertow.testutils.HttpOneOnly;
+import io.undertow.testutils.ProxyIgnore;
+import org.junit.BeforeClass;
+import org.junit.runner.RunWith;
+
+/**
+ * Runs {@link SSLSessionTestCase} with an expanded buffer SSLEngine,
+ * and verifies if {@link javax.net.ssl.SSLEngineResult.Status#BUFFER_OVERFLOW}
+ * is handled appropriately.
+ *
+ * @author Flavia Rainone
+ */
+@RunWith(DefaultServer.class)
+@ProxyIgnore
+@HttpOneOnly
+public class SSLSessionWithExpandedBufferTestCase extends SSLSessionTestCase {
+
+    @BeforeClass
+    public static void setup() throws Exception {
+        final SSLContext context = SSLContext.getDefault();
+        final SSLEngine firstEngine = context.createSSLEngine();
+        firstEngine.setUseClientMode(false);
+        final SSLEngine anotherEngine = context.createSSLEngine();
+        anotherEngine.setUseClientMode(false);
+
+        final ByteBuffer expandBufferHandshake = ByteBuffer
+                .wrap(new byte[] { 0x16, 0x3, 0x3, 0x71, 0x41 });
+
+        final ByteBuffer unwrapDest = ByteBuffer.allocate(64 * 1024);
+        // enable large fragment buffers in all engines in the JVM
+        firstEngine.unwrap(expandBufferHandshake, unwrapDest);
+        unwrapDest.clear();
+    }
+}",2020-03-10T19:18:10Z,277
"@@ -0,0 +1,56 @@
+/*
+ * JBoss, Home of Professional Open Source.
+ * Copyright 2019 Red Hat, Inc., and individual contributors
+ * as indicated by the @author tags.
+ *
+ * Licensed under the Apache License, Version 2.0 (the ""License"");
+ * you may not use this file except in compliance with the License.
+ * You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ *  Unless required by applicable law or agreed to in writing, software
+ *  distributed under the License is distributed on an ""AS IS"" BASIS,
+ *  WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ *  See the License for the specific language governing permissions and
+ *  limitations under the License.
+ */
+package io.undertow.servlet.test.security.ssl;
+
+import java.nio.ByteBuffer;
+
+import javax.net.ssl.SSLContext;
+import javax.net.ssl.SSLEngine;
+
+import io.undertow.testutils.DefaultServer;
+import org.junit.BeforeClass;
+import org.junit.runner.RunWith;
+
+/**
+ * Runs {@link SSLMetaDataTestCase} with an expanded buffer SSL Engine,
+ * and verifies if {@link javax.net.ssl.SSLEngineResult.Status#BUFFER_OVERFLOW}
+ * is handled appropriately.
+ *
+ * @author Flavia Rainone
+ */
+@RunWith(DefaultServer.class)
+public class SSLMetaDataWithExpandedBufferTestCase extends SSLMetaDataTestCase {
+
+    @BeforeClass
+    public static void setup() throws Exception {
+        final SSLContext context = SSLContext.getDefault();
+        final SSLEngine firstEngine = context.createSSLEngine();
+        firstEngine.setUseClientMode(false);
+        final SSLEngine anotherEngine = context.createSSLEngine();
+        anotherEngine.setUseClientMode(false);
+
+        final ByteBuffer expandBufferHandshake = ByteBuffer
+                .wrap(new byte[] { 0x16, 0x3, 0x3, 0x71, 0x41 });
+
+        final ByteBuffer unwrapDest = ByteBuffer.allocate(64 * 1024);
+        // enable large fragment buffers in all engines in the JVM
+        firstEngine.unwrap(expandBufferHandshake, unwrapDest);
+        unwrapDest.clear();
+        SSLMetaDataTestCase.setup();
+    }
+}",2020-03-10T19:18:10Z,278
"@@ -576,7 +576,7 @@ public String getParameter(final String name) {
                 final FormData parsedFormData = parseFormData();
                 if (parsedFormData != null) {
                     FormData.FormValue res = parsedFormData.getFirst(name);
-                    if (res == null) {
+                    if (res == null || res.isFile()) {
                         return null;
                     } else {
                         return res.getValue();
@@ -599,7 +599,13 @@ public Enumeration<String> getParameterNames() {
             if (parsedFormData != null) {
                 Iterator<String> it = parsedFormData.iterator();
                 while (it.hasNext()) {
-                    parameterNames.add(it.next());
+                    String name = it.next();
+                    for(FormData.FormValue param : parsedFormData.get(name)) {
+                        if(!param.isFile()) {
+                            parameterNames.add(it.next());
+                            break;
+                        }
+                    }
                 }
             }
         }
@@ -624,7 +630,9 @@ public String[] getParameterValues(final String name) {
                 Deque<FormData.FormValue> res = parsedFormData.get(name);
                 if (res != null) {
                     for (FormData.FormValue value : res) {
-                        ret.add(value.getValue());
+                        if(!value.isFile()) {
+                            ret.add(value.getValue());
+                        }
                     }
                 }
             }
@@ -640,9 +648,9 @@ public Map<String, String[]> getParameterMap() {
         if (queryParameters == null) {
             queryParameters = exchange.getQueryParameters();
         }
-        final Map<String, String[]> ret = new HashMap<String, String[]>();
+        final Map<String, ArrayList<String>> arrayMap = new HashMap<String, ArrayList<String>>();
         for (Map.Entry<String, Deque<String>> entry : queryParameters.entrySet()) {
-            ret.put(entry.getKey(), entry.getValue().toArray(new String[entry.getValue().size()]));
+            arrayMap.put(entry.getKey(), new ArrayList<String>(entry.getValue()));
         }
         if (exchange.getRequestMethod().equals(Methods.POST)) {
 
@@ -652,26 +660,30 @@ public Map<String, String[]> getParameterMap() {
                 while (it.hasNext()) {
                     final String name = it.next();
                     Deque<FormData.FormValue> val = parsedFormData.get(name);
-                    if (ret.containsKey(name)) {
-                        String[] existing = ret.get(name);
-                        String[] array = new String[val.size() + existing.length];
-                        System.arraycopy(existing, 0, array, 0, existing.length);
-                        int i = existing.length;
+                    if (arrayMap.containsKey(name)) {
+                        ArrayList<String> existing = arrayMap.get(name);
                         for (final FormData.FormValue v : val) {
-                            array[i++] = v.getValue();
+                            if(!v.isFile()) {
+                                existing.add(v.getValue());
+                            }
                         }
-                        ret.put(name, array);
                     } else {
-                        String[] array = new String[val.size()];
+                        final ArrayList<String> values = new ArrayList<String>();
                         int i = 0;
                         for (final FormData.FormValue v : val) {
-                            array[i++] = v.getValue();
+                            if(!v.isFile()) {
+                                values.add(v.getValue());
+                            }
                         }
-                        ret.put(name, array);
+                        arrayMap.put(name, values);
                     }
                 }
             }
         }
+        final Map<String, String[]> ret = new HashMap<String, String[]>();
+        for(Map.Entry<String, ArrayList<String>> entry : arrayMap.entrySet()) {
+            ret.put(entry.getKey(), entry.getValue().toArray(new String[entry.getValue().size()]));
+        }
         return ret;
     }
 ",2013-09-17T08:17:36Z,147
"@@ -103,14 +103,6 @@ public void suspendWrites() {
         state &= ~STATE_WRITES_RESUMED;
     }
 
-    protected void suspendWritesInternal() {
-        channel.suspendWrites();
-    }
-
-    protected void resumeWritesInternal() {
-        channel.resumeWrites();
-    }
-
     /**
      * Returns the header for the current frame.
      *
@@ -163,12 +155,24 @@ public boolean isWriteResumed() {
 
     @Override
     public void wakeupWrites() {
-        resumeWrites();
+        resumeWritesInternal(true);
     }
 
     @Override
     public void resumeWrites() {
+        resumeWritesInternal(false);
+    }
+
+    protected void resumeWritesInternal(boolean wakeup) {
+        boolean alreadyResumed = anyAreSet(state, STATE_WRITES_RESUMED);
+        if(!wakeup && alreadyResumed) {
+            return;
+        }
         state |= STATE_WRITES_RESUMED;
+        if(anyAreSet(state, STATE_READY_FOR_FLUSH) && !wakeup) {
+            //we already have data queued to be flushed
+            return;
+        }
 
         if (!anyAreSet(state, STATE_IN_LISTENER_LOOP)) {
             getIoThread().execute(new Runnable() {
@@ -408,7 +412,7 @@ public void close() throws IOException {
         }
         //we need to wake up/invoke the write listener
         if(isWriteResumed()) {
-            resumeWritesInternal();
+            ChannelListeners.invokeChannelListener(getIoThread(), this, (ChannelListener)getWriteListener());
         }
         wakeupWrites();
     }",2014-07-10T06:55:51Z,234
"@@ -243,6 +243,9 @@ public void shutdownReads() throws IOException {
     protected void lastFrame() {
         state |= STATE_LAST_FRAME;
         waitingForFrame = false;
+        if(data == null && pendingFrameData.isEmpty()) {
+            state |= STATE_DONE | STATE_CLOSED;
+        }
     }
 
     @Override",2014-07-10T06:55:51Z,190
"@@ -183,6 +183,9 @@ protected Pooled<ByteBuffer>[] createHeaderBlock(Pooled<ByteBuffer> firstHeaderB
      * @return The number of bytes that can be sent
      */
     protected synchronized int grabFlowControlBytes(int toSend) {
+        if(toSend == 0) {
+            return 0;
+        }
         int newWindowSize = this.getChannel().getInitialWindowSize();
         int settingsDelta = newWindowSize - this.initialWindowSize;
         //first adjust for any settings frame updates
@@ -192,9 +195,6 @@ protected synchronized int grabFlowControlBytes(int toSend) {
         int min = Math.min(toSend, this.flowControlWindow);
         int actualBytes = this.getChannel().grabFlowControlBytes(min);
         this.flowControlWindow -= actualBytes;
-        if (actualBytes == 0) {
-            suspendWritesInternal();
-        }
         return actualBytes;
     }
 
@@ -204,7 +204,7 @@ synchronized void updateFlowControlWindow(final int delta) throws IOException {
         if (exhausted) {
             getChannel().notifyFlowControlAllowed();
             if (isWriteResumed()) {
-                resumeWritesInternal();
+                resumeWritesInternal(true);
             }
         }
     }",2014-07-10T06:55:51Z,72
"@@ -134,11 +134,11 @@ public void handleRequest(HttpServerExchange exchange) throws Exception {
             return;
         }
 
-//        Maybe it's not worth dispatching even registration/removals?
-//        if (exchange.isInIoThread()) {
-//            exchange.dispatch(this);
-//            return;
-//        }
+        if(exchange.isInIoThread()) {
+            //for now just do all the management stuff in a worker, as it uses blocking IO
+            exchange.dispatch(this);
+            return;
+        }
 
         final HttpString method = exchange.getRequestMethod();
         try {",2014-07-18T01:51:56Z,100
"@@ -271,9 +271,9 @@ protected void lastFrame() {
 
     @Override
     public void awaitReadable() throws IOException {
-        if (data == null) {
+        if (data == null && pendingFrameData.isEmpty()) {
             synchronized (lock) {
-                if (data == null) {
+                if (data == null && pendingFrameData.isEmpty()) {
                     try {
                         waiters++;
                         lock.wait();",2014-07-18T01:51:56Z,190
"@@ -18,6 +18,7 @@
 
 package io.undertow.servlet.handlers;
 
+import java.net.InetAddress;
 import java.net.InetSocketAddress;
 import java.security.AccessController;
 import java.util.List;
@@ -222,7 +223,11 @@ public boolean displayStackTraces() {
             if(localAddress == null) {
                 return false;
             }
-            if(!localAddress.getAddress().isLoopbackAddress()) {
+            InetAddress address = localAddress.getAddress();
+            if(address == null) {
+                return false;
+            }
+            if(!address.isLoopbackAddress()) {
                 return false;
             }
             return !getExchange().getRequestHeaders().contains(Headers.X_FORWARDED_FOR);",2014-07-18T01:51:56Z,123
