bug_report_id,bug_report_desc,bug_report_time
WELD-1474,"It would appear that a bean that implements Extension is not serializable when injected. If an Extension is injected you should get the Contextual Reference for it. In turn the serializable proxy.

Currently it would appear that it is getting injected direction without a 

http://pastebin.com/DFJEFCQP",2013/07/31 9:25 AM
WELD-1492,"Weld does not report a definition error for the following producers:
{code}
@Produces Bar<Foo<?>> wildcardFooBarProducerField;
@Produces Bar<Foo<?>> produceWildcardFooBar() { ... }
@Produces @RequestScoped Bar<Foo<T>> typedFooBarProducerField;
@Produces @RequestScoped Bar<Foo<T>> produceTypedFooBar() { ... };
{code}

But it does report the error for simple(r) producers:
{code}
@Produces Foo<?> wildcardFooProducerField;
@Produces Foo<?> produceWildcardFoo() { ... }
@Produces @RequestScoped Foo<T> typedFooProducerField;
@Produces @RequestScoped Foo<T> produceTypedFoo() { ... };
{code}
",2013/09/02 3:06 AM
WELD-1456,ProgrammaticallyAddedProcessBeanAttributesTest counts the number of ProcessBeanAttributes events and expects the count to be 0 in the end (That would suggest that no PBA was fired for built-in beans nor beans added via AfterBeanDiscovery.addBean()). However this is incorrect since an application server may bundle extensions that register (synthetic) annotated types. These are not built-in beans per definition and therefore they affect the counter in the test.,2013/07/15 8:51 AM
WELD-1444,"After the OSGi version upgrade, weld-osgi examples are no longer working as containers versions are using older OSGi version.",2013/06/28 12:04 PM
WELD-1407,"While trying to use the 1.2.0.Beta1 of weld-osgi, launching weld-osgi bundles in felix wasn't working properly as some runtime dependencies were not satified

{code}
Constraint violation for package 'org.jboss.weld.environment.se' when resolving module 14.0
  between existing export 14.0.org.jboss.weld.environment.se
   NO BLAME and uses constraint 2.0.org.jboss.weld.environment.se
   BLAMED ON [[14.0] package; (&(package=org.jboss.weld.environment.se)(version>=1.2.0.SNAPSHOT))]
{code}

The problem is bnd files that generates OSGi manifest.mf have hard coded versions:

in core / environments / osgi / core / integration / src / main / resources / META-INF / weld-osgi-core-integration.bnd

{code}
...
 org.jboss.weld.environment.se.events; \
 org.jboss.weld.environment.se.bindings; \
 org.jboss.weld.environment.se.threading; \
 org.jboss.weld.environment.se.beans; \
 org.jboss.weld.environment.se.discovery; \
 org.jboss.weld.environment.se.discovery.url; \
 org.jboss.weld.environment.se.contexts; \
 org.jboss.weld.messages; version=1.2.0-SNAPSHOT
...
{code}
This should be fixed to avoid issues for the next release.

Additional work may be needed to remove all the hard coded dependencies in theses files (mostly testing and checking if it's really necessary)",2013/04/15 10:39 AM
WELD-1406,"Following the Weld-OSGi user guide (http://docs.jboss.org/weld/reference/1.2.0.Beta1/weld-osgi/user-guide/html/)  with the latest 1.2.0-SNAPSHOT version,
Starting the custom bundle is throwing the exception:

{code}16:13:32.164 [Gogo shell]    ERROR o.j.w.e.o.i.i.Weld - Initialization of Weld instance for bundle com.sample.hello-world-multilingual [10] caused an error: java.lang.NoClassDefFoundError: org/jboss/weld/interceptor/InterceptorBindingType 
java.lang.NoClassDefFoundError: org/jboss/weld/interceptor/InterceptorBindingType
{code}

This is because {{InterceptorBindingType}} class is used in {{weld-osgi-core-integration}} and the package is not imported in {{weld-osgi-core-integration}} nor exported in weld-osgi-core-mandatory",2013/04/15 10:14 AM
WELD-1408,"WELD-1307 is removing the bundle from {{managed}} map and then the stop task is checking if the bundle is in the map (in the following lines). stop management is then never executed and stop events are not sent as expected.
This can be easily reproduced with the user guide http://docs.jboss.org/weld/reference/1.2.0.Beta1/weld-osgi/user-guide/html/ch02.html#d0e306 example : ""Goodbye World!"" is never printed

at {{org.jboss.weld.environment.osgi.impl.integration.IntegrationActivator.stopManagement(IntegrationActivator.java:241)}}

{code}
            if (future == null) {
            final CDIContainer container = managed.remove(bundle.getBundleId());
{code}

but the stop events are fired if 
{code}
if (started.get() && managed.containsKey(bundle.getBundleId())) {
{code}
",2013/04/15 11:07 AM
WELD-1481,We should either remove this section (20.1. Excluding classes from scanning and deployment) or reword the contents to follow the spec (12.4 Bean discovery).,2013/08/08 12:03 PM
WELD-1499,"Weld only calls {{conversation.lock()}} when using an existing conversation. It never locks the conversation when the conversation is created. Since a new request with the same cid can be started before the first request (the one that created the conversation) has finished, there can in fact be two requests associated with the same conversation.",2013/09/04 4:43 PM
WELD-1418,"There's a race condition in AbstractConversationContext when create first conversation scope if it's the first request of one session.
Suppose such scenario
# User requests a jsf page
# weld creates a conversations map in the AbstractConversationContext.associate()
# Because it is the first request, there's no session. Weld keep this map in request
# A conversation scoped bean is created and put to the map.
# In somewhere, a session is created
# In the render phase, server sends partial response back. The page need some jsf resource, eg, jsf2 ajax or jsf resource
# Browser requests the new jsf resource
# At this time  The first request has not finished. So it doesn't reach dissociate() and doesn't put conversations map in the session.
# Meanwhile  The second request reach associate(). There's no conversations map in the session, and the session is existing. It puts its new map! <====
# Then, even the first request reach dissociate(), because there's already a map, it doesn't put its owner anymore. <====

A quick and dirty fix is always create session before associate(). However, it's better to merge the map in the dissociate()


I upload a example which is very easy to reproduce the problem.




",2013/04/27 12:14 PM
WELD-1493,"For producer fields with an invalid type (containing a wildcard or type variable), the exception message does not mention producer fields, but producer methods: ""A producer method cannot have a return type parameterized with wildcards. Method {0}""
",2013/09/02 3:09 AM
WELD-1494,Weld should throw a definition exception when a producer's return type is an array with a component type that is a type variable or a parameterized type containing a wildcard ({{T[]}} or {{Foo<?>[]}}). ,2013/09/02 3:14 AM
WELD-1451,"Injecting a session bean that specializes another session bean is failing deployment due to an ambiguous dependency exception.  The reason for the  exception is because the injection point injects by the interface of the EBJs.  If I make the injection point type the EJB class it successfully deploys.  Below is  the summary of the classes that are included in the attachment.

This works ok in Weld 2.0 with GlassFish but fails on existing WLS which 
is using 1.1.10.Final and also fails with 1.1.13.Final.
Class Summary:
@Local
public interface AccountBeanLocal {}

@Stateless
public class AccountBean implements AccountBeanLocal {}

@Stateless
@Specializes
public class MockAccountBean extends AccountBean {}

public class EarSpecializeServlet extends HttpServlet {}
     @Inject
     AccountBeanLocal bean;
...
}


If I change the injection point to the super class then it deploys fine.
     @Inject
     AccountBean bean;",2013/07/10 9:26 AM
WELD-1466,"BeanManager.getBeans() throws an exception if the state of the container is anything other than VALIDATED or INITIALIZED. 

The message of the exception is ""BeanManager method getBeans() is not available during application initialization"", which is misleading when the container is in the SHUTDOWN state. 

Actually, the spec doesn't even say that an exception should be thrown when shutdown. But it sounds reasonable that it should.

We should either not throw the exception or change the message to something like ""... getBeans() is not available during application initialization or after shutdown"" (or split these two cases and have different messages for each case).",2013/07/21 4:36 AM
WELD-1174,See the forum discussion at https://community.jboss.org/thread/203007,2012/07/24 4:35 PM
