bug_report_id,file_diff_id
DBZ-148,66
DBZ-148,68
DBZ-148,61
DBZ-148,19
DBZ-148,69
DBZ-148,47
DBZ-148,103
DBZ-148,62
DBZ-148,67
DBZ-148,71
DBZ-148,48
DBZ-148,75
DBZ-144,67
DBZ-144,87
DBZ-144,68
DBZ-144,61
DBZ-144,69
DBZ-144,72
DBZ-139,83
DBZ-139,67
DBZ-139,87
DBZ-139,68
DBZ-139,62
DBZ-139,70
DBZ-139,104
DBZ-139,105
DBZ-139,106
DBZ-129,40
DBZ-129,68
DBZ-129,69
DBZ-129,62
DBZ-129,70
DBZ-124,107
DBZ-124,108
DBZ-124,68
DBZ-124,19
DBZ-124,109
DBZ-124,110
DBZ-124,111
DBZ-124,112
DBZ-124,113
DBZ-124,114
DBZ-124,41
DBZ-122,68
DBZ-122,109
DBZ-122,115
DBZ-114,61
DBZ-114,47
DBZ-114,79
DBZ-114,48
DBZ-112,67
DBZ-112,116
DBZ-112,40
DBZ-112,61
DBZ-112,36
DBZ-112,71
DBZ-112,48
DBZ-112,117
DBZ-112,118
DBZ-112,62
DBZ-112,119
DBZ-112,9
DBZ-112,35
DBZ-112,60
DBZ-111,83
DBZ-111,67
DBZ-111,87
DBZ-111,68
DBZ-111,62
DBZ-111,70
DBZ-111,104
DBZ-111,105
DBZ-111,106
DBZ-108,120
DBZ-108,121
DBZ-107,83
DBZ-107,67
DBZ-107,87
DBZ-107,68
DBZ-107,62
DBZ-107,70
DBZ-107,104
DBZ-107,105
DBZ-107,106
DBZ-103,87
DBZ-103,68
DBZ-103,70
DBZ-103,105
DBZ-102,40
DBZ-102,69
DBZ-102,122
DBZ-102,62
DBZ-102,123
DBZ-102,9
DBZ-102,102
DBZ-102,124
DBZ-102,19
DBZ-102,47
DBZ-102,48
DBZ-102,75
DBZ-102,125
DBZ-100,71
DBZ-100,48
DBZ-100,73
DBZ-100,126
DBZ-100,35
DBZ-94,61
DBZ-94,62
DBZ-94,36
DBZ-94,9
DBZ-91,68
DBZ-91,48
DBZ-91,35
DBZ-91,19
DBZ-91,79
DBZ-91,127
DBZ-91,128
DBZ-91,129
DBZ-91,120
DBZ-91,60
DBZ-87,79
DBZ-87,48
DBZ-87,127
DBZ-87,129
DBZ-87,77
DBZ-87,19
DBZ-87,110
DBZ-86,67
DBZ-86,68
DBZ-86,122
DBZ-86,62
DBZ-86,70
DBZ-86,71
DBZ-86,19
DBZ-85,79
DBZ-85,48
DBZ-85,127
DBZ-85,129
DBZ-85,77
DBZ-85,19
DBZ-85,110
DBZ-84,79
DBZ-84,48
DBZ-84,127
DBZ-84,129
DBZ-84,77
DBZ-84,19
DBZ-84,110
DBZ-82,67
DBZ-82,68
DBZ-82,122
DBZ-82,62
DBZ-82,70
DBZ-82,71
DBZ-82,19
DBZ-77,87
DBZ-77,40
DBZ-77,19
DBZ-77,70
DBZ-77,119
DBZ-77,76
DBZ-77,41
DBZ-77,130
DBZ-77,131
DBZ-77,115
DBZ-77,132
DBZ-77,133
DBZ-77,67
DBZ-77,68
DBZ-77,69
DBZ-77,62
DBZ-77,73
DBZ-77,134
DBZ-77,102
DBZ-76,83
DBZ-76,67
DBZ-76,87
DBZ-76,68
DBZ-76,62
DBZ-76,70
DBZ-76,104
DBZ-76,105
DBZ-76,106
DBZ-73,87
DBZ-73,40
DBZ-73,19
DBZ-73,70
DBZ-73,119
DBZ-73,76
DBZ-73,41
DBZ-73,130
DBZ-73,131
DBZ-73,115
DBZ-73,132
DBZ-73,133
DBZ-73,67
DBZ-73,68
DBZ-73,69
DBZ-73,62
DBZ-73,73
DBZ-73,134
DBZ-73,102
DBZ-72,83
DBZ-72,19
DBZ-72,69
DBZ-72,122
DBZ-72,110
DBZ-72,135
DBZ-72,127
DBZ-72,129
DBZ-72,77
DBZ-72,136
DBZ-72,60
DBZ-71,82
DBZ-71,83
DBZ-71,60
DBZ-64,71
DBZ-64,35
DBZ-61,71
DBZ-61,35
DBZ-57,49
DBZ-57,26
DBZ-57,118
DBZ-57,137
DBZ-57,138
DBZ-55,68
DBZ-55,70
DBZ-55,109
DBZ-55,71
DBZ-55,139
DBZ-55,140
DBZ-55,35
DBZ-49,49
DBZ-49,26
DBZ-49,65
DBZ-49,141
DBZ-43,68
DBZ-43,71
DBZ-43,98
DBZ-43,142
DBZ-43,78
DBZ-43,35
DBZ-28,68
DBZ-28,109
DBZ-26,143
DBZ-26,40
DBZ-26,109
DBZ-26,112
DBZ-26,113
DBZ-26,144
DBZ-26,145
