file_diff,commit_time,file_diff_id
"@@ -22,7 +22,6 @@
 import java.io.IOException;
 import java.io.StringReader;
 import java.io.StringWriter;
-import java.net.InetAddress;
 import java.net.UnknownHostException;
 import java.util.Hashtable;
 import java.util.List;
@@ -169,8 +168,7 @@ private static void initStatic() throws ConfigurationException, UnknownHostExcep
                 if (managementAddress.equals(""0.0.0.0"")) {
                     managementAddress = ""localhost"";
                 }
-                client = ModelControllerClient.Factory.create(""remote"", InetAddress.getByName(managementAddress), 9999,
-                        getCallbackHandler());
+                client = ModelControllerClient.Factory.create(""remote"", managementAddress, 9999, getCallbackHandler(), null, 20 * 1000);
             }
         }
     }",2014-01-22T14:45:32Z,47
"@@ -2,7 +2,7 @@
 <!--  See src/resources/configuration/ReadMe.txt for how the configuration assembly works -->
 <config>
    <extension-module>org.jboss.as.deployment-scanner</extension-module>
-   <subsystem xmlns=""urn:jboss:domain:deployment-scanner:1.1"">
-       <deployment-scanner path=""deployments"" relative-to=""jboss.server.base.dir"" scan-interval=""5000""/>
+   <subsystem xmlns=""urn:jboss:domain:deployment-scanner:2.0"">
+       <deployment-scanner path=""deployments"" relative-to=""jboss.server.base.dir"" scan-interval=""5000"" runtime-failure-causes-rollback=""${jboss.deployment.scanner.rollback.on.failure:false}""/>
    </subsystem>
 </config>
\ No newline at end of file",2013-12-04T15:59:51Z,177
"@@ -5,6 +5,7 @@
    <subsystem xmlns=""urn:jboss:domain:ee:2.0"">
         <spec-descriptor-property-replacement>false</spec-descriptor-property-replacement>
         <jboss-descriptor-property-replacement>true</jboss-descriptor-property-replacement>
+        <ejb-annotation-property-replacement>false</ejb-annotation-property-replacement>
         <concurrent>
             <context-services>
                 <context-service name=""default"" jndi-name=""java:jboss/ee/concurrency/context/default"" use-transaction-setup-provider=""true""/>",2013-12-04T15:59:51Z,178
"@@ -18,13 +18,11 @@
            </bean-instance-pools>
        </pools>
        <caches>
-           <cache name=""simple"" aliases=""NoPassivationCache""/>
-           <cache name=""passivating"" passivation-store-ref=""file"" aliases=""SimpleStatefulCache""/>
-           <?CLUSTERED-CACHE?>
+           <cache name=""simple""/>
+           <cache name=""distributable"" aliases=""passivating clustered"" passivation-store-ref=""infinispan""/>
        </caches>
        <passivation-stores>
-           <file-passivation-store name=""file""/>
-           <?CLUSTER-PASSIVATION-STORE?>
+           <passivation-store name=""infinispan"" cache-container=""ejb"" max-size=""10000""/>
        </passivation-stores>
        <async thread-pool-name=""default""/>
        <timer-service thread-pool-name=""default"" default-data-store=""default-file-store"">
@@ -53,21 +51,15 @@
          <iiop enable-by-default=""false"" use-qualified-name=""false""/>
       </replacement>
       <replacement placeholder=""MDB"">
-	       <mdb>
-	           <resource-adapter-ref resource-adapter-name=""hornetq-ra""/>
-	           <bean-instance-pool-ref pool-name=""mdb-strict-max-pool""/>
-	       </mdb>
+         <mdb>
+             <resource-adapter-ref resource-adapter-name=""${ejb.resource-adapter-name:hornetq-ra.rar}""/>
+             <bean-instance-pool-ref pool-name=""mdb-strict-max-pool""/>
+         </mdb>
       </replacement>
    </supplement>
    <supplement name=""ha"">
       <replacement placeholder=""STATEFUL-BEAN"">
-         <stateful default-access-timeout=""5000"" cache-ref=""simple"" clustered-cache-ref=""clustered"" passivation-disabled-cache-ref=""simple""/>
-      </replacement>
-      <replacement placeholder=""CLUSTERED-CACHE"">
-         <cache name=""clustered"" passivation-store-ref=""infinispan"" aliases=""StatefulTreeCache""/>
-      </replacement>
-      <replacement placeholder=""CLUSTER-PASSIVATION-STORE"">
-         <cluster-passivation-store name=""infinispan"" cache-container=""ejb""/>
+         <stateful default-access-timeout=""5000"" cache-ref=""simple"" clustered-cache-ref=""distributable"" passivation-disabled-cache-ref=""simple""/>
       </replacement>
    </supplement>
    <supplement name=""full-ha"" includes=""full ha""/>",2013-12-04T15:59:51Z,179
"@@ -7,8 +7,19 @@
     </subsystem>
     <supplement name=""default"">
         <replacement placeholder=""CACHE-CONTAINERS"">
-            <cache-container name=""web"" aliases=""standard-session-cache"" default-cache=""local-web"" module=""org.wildfly.clustering.web.infinispan"">
-                <local-cache name=""local-web"" batching=""true"">
+            <cache-container name=""web"" default-cache=""passivation"" module=""org.wildfly.clustering.web.infinispan"">
+                <local-cache name=""passivation"" batching=""true"">
+                    <file-store passivation=""true"" purge=""false""/>
+                </local-cache>
+                <local-cache name=""persistent"" batching=""true"">
+                    <file-store passivation=""false"" purge=""false""/>
+                </local-cache>
+            </cache-container>
+            <cache-container name=""ejb"" aliases=""sfsb"" default-cache=""passivation"" module=""org.wildfly.clustering.ejb.infinispan"">
+                <local-cache name=""passivation"" batching=""true"">
+                    <file-store passivation=""true"" purge=""false""/>
+                </local-cache>
+                <local-cache name=""persistent"" batching=""true"">
                     <file-store passivation=""false"" purge=""false""/>
                 </local-cache>
             </cache-container>
@@ -38,27 +49,15 @@
                     <locking isolation=""REPEATABLE_READ""/>
                 </replicated-cache>
             </cache-container>
-            <cache-container name=""web"" aliases=""standard-session-cache"" default-cache=""repl"" module=""org.wildfly.clustering.web.infinispan"">
+            <cache-container name=""web"" default-cache=""dist"" module=""org.wildfly.clustering.web.infinispan"">
                 <transport lock-timeout=""60000""/>
-                <replicated-cache name=""repl"" mode=""ASYNC"" batching=""true"">
-                    <file-store/>
-                </replicated-cache>
-                <replicated-cache name=""sso"" mode=""SYNC"" batching=""true""/>
-                <distributed-cache name=""dist"" mode=""ASYNC"" batching=""true"" l1-lifespan=""0"">
+                <distributed-cache name=""dist"" mode=""ASYNC"" batching=""true"" l1-lifespan=""0"" owners=""4"">
                     <file-store/>
                 </distributed-cache>
             </cache-container>
-            <cache-container name=""ejb"" aliases=""sfsb sfsb-cache"" default-cache=""repl"" module=""org.jboss.as.clustering.ejb3.infinispan"">
+            <cache-container name=""ejb"" aliases=""sfsb"" default-cache=""dist"" module=""org.wildfly.clustering.ejb.infinispan"">
                 <transport lock-timeout=""60000""/>
-                <replicated-cache name=""repl"" mode=""ASYNC"" batching=""true"">
-                    <eviction strategy=""LRU"" max-entries=""10000""/>
-                    <file-store/>
-                </replicated-cache>
-                <!-- Clustered cache used internally by EJB subsytem for managing the client-mapping(s) of
-                the socketbinding referenced by the EJB remoting connector -->
-                <replicated-cache name=""remote-connector-client-mappings"" mode=""SYNC"" batching=""true""/>
-                <distributed-cache name=""dist"" mode=""ASYNC"" batching=""true"" l1-lifespan=""0"">
-                    <eviction strategy=""LRU"" max-entries=""10000""/>
+                <distributed-cache name=""dist"" mode=""ASYNC"" batching=""true"" l1-lifespan=""0"" owners=""4"">
                     <file-store/>
                 </distributed-cache>
             </cache-container>",2013-12-04T15:59:51Z,180
"@@ -84,7 +84,22 @@
            </protocol>
        </replacement>
    </supplement>
+   <supplement name=""gossip-discovery"">
+       <replacement placeholder=""TCP-DISCOVERY"">
+           <protocol type=""TCPGOSSIP"">
+               <property name=""initial_hosts"">${jboss.jgroups.gossip.initial_hosts}</property>
+               <property name=""num_initial_members"">${jboss.jgroups.gossip.num_initial_members}</property>
+           </protocol>
+       </replacement>
+       <replacement placeholder=""UDP-DISCOVERY"">
+           <protocol type=""TCPGOSSIP"">
+               <property name=""initial_hosts"">${jboss.jgroups.gossip.initial_hosts}</property>
+               <property name=""num_initial_members"">${jboss.jgroups.gossip.num_initial_members}</property>
+           </protocol>
+       </replacement>
+   </supplement>
    <supplement name=""ec2"" includes=""no-multicast s3-ping""/>
+   <supplement name=""gossip"" includes=""no-multicast gossip-discovery""/>
    <socket-binding name=""jgroups-mping"" port=""0"" multicast-address=""${jboss.default.multicast.address:230.0.0.4}"" multicast-port=""45700""/>
    <socket-binding name=""jgroups-tcp"" port=""7600""/>
    <socket-binding name=""jgroups-tcp-fd"" port=""57600""/>",2013-12-04T15:59:51Z,181
"@@ -2,8 +2,8 @@
 <!--  See src/resources/configuration/ReadMe.txt for how the configuration assembly works -->
 <config>
    <extension-module>org.jboss.as.mail</extension-module>
-   <subsystem xmlns=""urn:jboss:domain:mail:1.1"">
-       <mail-session jndi-name=""java:jboss/mail/Default"">
+   <subsystem xmlns=""urn:jboss:domain:mail:2.0"">
+       <mail-session name=""default"" jndi-name=""java:jboss/mail/Default"">
            <smtp-server outbound-socket-binding-ref=""mail-smtp""/>
        </mail-session>
    </subsystem>",2013-12-04T15:59:51Z,182
"@@ -2,7 +2,7 @@
 <!--  See src/resources/configuration/ReadMe.txt for how the configuration assembly works -->
 <config>
    <extension-module>org.jboss.as.messaging</extension-module>
-   <subsystem xmlns=""urn:jboss:domain:messaging:1.4"">
+   <subsystem xmlns=""urn:jboss:domain:messaging:2.0"">
        <hornetq-server>
            <?CLUSTERED?>
            <persistence-enabled>true</persistence-enabled>
@@ -14,7 +14,6 @@
                <netty-connector name=""netty-throughput"" socket-binding=""messaging-throughput"">
                    <param key=""batch-delay"" value=""50""/>
                </netty-connector>
-               <servlet-connector name=""servlet"" socket-binding=""http"" host=""default-host"" />
                <in-vm-connector name=""in-vm"" server-id=""0""/>
            </connectors>
 
@@ -65,14 +64,6 @@
                        <entry name=""java:/ConnectionFactory""/>
                    </entries>
                </connection-factory>
-               <connection-factory name=""ServletConnectionFactory"">
-                   <connectors>
-                       <connector-ref connector-name=""servlet""/>
-                   </connectors>
-                   <entries>
-                       <entry name=""java:jboss/exported/jms/ServletConnectionFactory""/>
-                   </entries>
-               </connection-factory>
                <connection-factory name=""RemoteConnectionFactory"">
                    <connectors>
                        <connector-ref connector-name=""netty""/>",2013-12-04T15:59:51Z,183
"@@ -31,11 +31,10 @@
             <buffer-cache name=""default"" buffer-size=""1024"" buffers-per-region=""1024"" max-regions=""10""/>
         </buffer-caches>
         <server name=""default-server"">
-            <http-listener name=""default"" socket-binding=""http"" max-post-size=""10485760""/>
+            <http-listener name=""default"" socket-binding=""http"" />
             <?AJP?>
             <host name=""default-host"" alias=""localhost"">
-                <location name=""/"" handler=""welcome-content"">
-                </location>
+                <location name=""/"" handler=""welcome-content"" />
             </host>
         </server>
         <servlet-container name=""default"" default-buffer-cache=""default"" stack-trace-on-error=""local-only"" >
@@ -48,7 +47,7 @@
     </subsystem>
     <supplement name=""ha"">
         <replacement placeholder=""AJP"">
-            <ajp-listener name=""ajp"" socket-binding=""ajp"" max-post-size=""10485760""/>
+            <ajp-listener name=""ajp"" socket-binding=""ajp"" />
         </replacement>
     </supplement>
     <socket-binding name=""http"" port=""${jboss.http.port:8080}""/>",2013-12-04T15:59:51Z,184
"@@ -1,98 +0,0 @@
-@echo off
-REM  ======================================================================
-REM
-REM  This is the main entry point for the build system.
-REM
-REM  Users should be sure to execute this file rather than 'mvn' to ensure
-REM  the correct version is being used with the correct configuration.
-REM
-REM  ======================================================================
-REM
-REM $Id: build.bat 105735 2010-06-04 19:45:13Z pgier $
-REM
-REM Authors:
-REM     Jason Dillon <jason@planet57.com>
-REM     Sacha Labourey <sacha.labourey@cogito-info.ch>
-REM
-
-REM ******************************************************
-REM Ignore the MAVEN_HOME variable: we want to use *our*
-REM Maven version and associated JARs.
-REM ******************************************************
-REM Ignore the users classpath, cause it might mess
-REM things up
-REM ******************************************************
-
-set PWD=%~dp0
-
-
-SETLOCAL
-
-set BPA=vc9x32
-
-set CLASSPATH=
-set M2_HOME=
-set MAVEN_HOME=
-
-set MVN_OPTIONS=-gs tools\maven\conf\settings.xml -Dbpa=%BPA%
-
-REM ******************************************************
-REM - ""for"" loops have been unrolled for compatibility
-REM   with some WIN32 systems.
-REM ******************************************************
-
-set NAMES=tools;tools\maven;tools\apache\maven
-set SUBFOLDERS=.;..;..\..;..\..\..;..\..\..\..
-
-REM ******************************************************
-REM ******************************************************
-
-SET EXECUTED=FALSE
-for %%i in (%NAMES%) do call :subLoop %%i %1 %2 %3 %4 %5 %6
-
-goto :EOF
-
-
-REM ******************************************************
-REM ********* Search for names in the subfolders *********
-REM ******************************************************
-
-:subLoop
-for %%j in (%SUBFOLDERS%) do call :testIfExists %%j\%1\bin\mvn.bat %2 %3 %4 %5 %6 %7
-
-goto :EOF
-
-
-REM ******************************************************
-REM ************ Test if Maven Batch file exists ***********
-REM ******************************************************
-
-:testIfExists
-if exist %1 call :BatchFound %1 %2 %3 %4 %5 %6 %7 %8
-
-goto :EOF
-
-
-REM ******************************************************
-REM ************** Batch file has been found *************
-REM ******************************************************
-
-:BatchFound
-if (%EXECUTED%)==(FALSE) call :ExecuteBatch %1 %2 %3 %4 %5 %6 %7 %8
-set EXECUTED=TRUE
-
-goto :EOF
-
-REM ******************************************************
-REM ************* Execute Batch file only once ***********
-REM ******************************************************
-
-:ExecuteBatch
-set GOAL=%2
-if ""%GOAL%""=="""" set GOAL=install
-echo Calling %1 %MVN_OPTIONS% %GOAL% %3 %4 %5 %6 %7 %8
-call %1 %MVN_OPTIONS% %GOAL% %3 %4 %5 %6 %7 %8
-
-:end
-
-if ""%NOPAUSE%"" == """" pause",2013-09-26T10:56:06Z,170
