bug_report_id,bug_report_desc,bug_report_time
RESTEASY-1711,"ResponseStreamPrematurelyClosedTest started to fail with the latest ibm jdk version:
Java(TM) SE Runtime Environment (build pxa6480sr4fp10-20170727_01(SR4 FP10))


{code:java}
testStream(org.jboss.resteasy.test.response.ResponseStreamPrematurelyClosedTest)  Time elapsed: 1.182 sec  <<< ERROR!
java.lang.ClassCastException: com.ibm.lang.management.GarbageCollectorMXBeanImpl incompatible with javax.management.NotificationEmitter
	at org.jboss.resteasy.test.response.ResponseStreamPrematurelyClosedTest.testStream(ResponseStreamPrematurelyClosedTest.java:111)

{code}
",2017/08/30 5:26 AM
RESTEASY-1706,"If a superclass with generic type parameters of a root resource contains resource methods with generic type parameters and JAX-RS Annotations, the JAX-RS annotations are not used.
This case should be within the scope of the JAX-RS Annotation inheritance specification.

The issue lies within the discovery process of overridden methods in superclasses / interfaces which does not resolve generic type arguments to actual types at runtime.
The current discovery process for overridden methods iterates over all superclasses and interfaces and looks for methods with the same function signature. But because of type erasure the overridden method presents the generic parameters as Object which does not match the specific type of the implemented method at runtime.

As a solution generic type parameters in method signatures have to be resolved in the course of the annotation inheritance discovery process.

[https://github.com/resteasy/Resteasy/blob/3.0/resteasy-jaxrs/src/main/java/org/jboss/resteasy/core/ResourceMethodRegistry.java#L342]
[https://github.com/resteasy/Resteasy/blob/3.0/resteasy-jaxrs/src/main/java/org/jboss/resteasy/spi/metadata/ResourceBuilder.java#L794]
",2017/08/25 12:18 PM
RESTEASY-1365,"Per HTTP spec, responses to HEAD requests should include Content-Length header indicating the entity size even though the entity itself is not included in response. Generic javax.servlet.http.HttpServlet.doHead() supports this as well.

However, RESTEasy skips the entity serialization for HEAD requests and thus returns the wrong Content-Length: 0. In org.jboss.resteasy.core.ServerResponseWriter.writeNomapResponse():

{code}
      if (jaxrsResponse.getEntity() == null || request.getHttpMethod().equalsIgnoreCase(""HEAD""))
      {
         response.setStatus(jaxrsResponse.getStatus());
         commitHeaders(jaxrsResponse, response);
         return;
      }
{code}

Note this happens after the resource method already built the response, so all we're saving here is serialization -- the heavy lifting of building the response already occurred.",2016/05/17 4:24 PM
RESTEASY-1331,According to [javadoc|https://jsr311.java.net/nonav/javadoc/javax/ws/rs/core/UriInfo.html#getQueryParameters()] UriInfo.getQueryParameters() should return an unmodifiable map of query parameter names and values.,2016/03/29 5:35 AM
RESTEASY-1322,"When both LastModifiedDate and ETag are passed to [evaluatePreconditions(java.util.Date lastModified, EntityTag eTag)|http://docs.oracle.com/javaee/6/api/javax/ws/rs/core/Request.html#evaluatePreconditions(java.util.Date, javax.ws.rs.core.EntityTag)] method, RestEasy will return NotModifies status code if any of them match with request headers.

However ETag should have higher priority.

Extract from [RFC 7232|https://tools.ietf.org/html/rfc7232]:

bq. A recipient must ignore If-Modified-Since if the request contains an If-None-Match header field; the condition in If-None-Match is considered to be a more accurate replacement for the condition in If-Modified-Since, and the two are only combined for the sake of interoperating with older intermediaries that might not implement If-None-Match.

bq. A recipient MUST ignore If-Unmodified-Since if the request contains an If-Match header field; the condition in If-Match is considered to be a more accurate replacement for the condition in If-Unmodified-Since, and the two are only combined for the sake of interoperating with older intermediaries that might not implement If-Match.",2016/03/10 3:54 PM
RESTEASY-1314,The {{resteasy-multipart-provider}} declares an old style JavaMail dependency on {{mail}} instead of a new style JavaMail dependency on {{javax.mail}}.  The {{pom.xml}} files can be cleaned up to be consistent with the latest convention.,2016/03/06 2:38 PM
RESTEASY-1306,"The javadoc [1] for javax.ws.rs.core Configurable interface says that:

""An existing property can be removed by assigning a null value to the property. ""

ClientWebTarget.property(some_property, null) throws a null pointer exception instead of clearing the property value.

 ResteasyProviderFactory.property() method can remove the property if the value of the property is null (this was fixed in 3.0.12-Final via https://issues.jboss.org/browse/RESTEASY-1184), but ClientWebTarget remains unchanged and does not take advantage of this ability.

[1] http://docs.jboss.org/resteasy/docs/3.0.9.Final/javadocs/index.html
",2016/02/23 6:24 PM
RESTEASY-1261,"When creating a {{UriBuilder}} from a String and building it the fragment is URL encoded using {{Encode.encodeFragment(fragment)}}. This will encode characters which are not valid in the fragment, but also the '=' and '/' characters which are valid in the fragment according to [RFC3986|http://ietf.org/rfc/rfc3986.txt] 3.5. 

So for example:
{{UriBuilder.fromUri(""https://www.youtube.com/watch?v=6exFuFJhfcA#t=6h07m01s"").build().toString()}}
results in
{{https://www.youtube.com/watch?v=6exFuFJhfcA#t%3D6h07m01s}}
while {{https://www.youtube.com/watch?v=6exFuFJhfcA#t=6h07m01s}} is expected.",2015/11/11 9:58 AM
RESTEASY-1193,"Correctly handle requests with an absolute URI in the request line, like:

GET http://www.example.com/testContent HTTP/1.1
Host: www.example.com

Prior to this patch, the Netty connector would interpret the above as:

http://www.example.comhttp://www.example.com/testContent

That is clearly wrong!",2015/07/06 3:01 AM
RESTEASY-1185,"This is documented as user should get warning in the javax.ws.rs.core Configurable interface.
The 2nd registration of the *instance* provider gives the warning.
The 2nd registration of the *class* provider doesn't give the warning.",2015/06/16 11:24 AM
RESTEASY-1184,"The javadoc [1] for javax.ws.rs.core Configurable interface says that:

""An existing property can be removed by assigning a null value to the property. ""

By client.property(some_property, null) this is not possible.
ResteasyProviderFactory.property() method only adds the properties, but has no way to remove it if the value of the property is null.

[1] http://docs.jboss.org/resteasy/docs/3.0.9.Final/javadocs/index.html
",2015/06/16 8:45 AM
RESTEASY-1172,"Properties from javax.ws.rs.core.Application.getProperties are not registered by ResteasyProviderFactory.
ResteasyDeployment.processApplication() seems to only care about Application.getClasses() and Application.getSingletons() not Application.getProperties()",2015/04/28 4:30 PM
RESTEASY-1156,"Doc link:

http://docs.jboss.org/resteasy/docs/3.0.9.Final/userguide/html/Installation_Configuration.html#upgrading-eap61

RESTEasy 3 is not supported outside of community, so telling EAP users to replace supported bits with unsupported ones is not a good idea.  At the very least, a note about loss of supportability should be added.",2015/02/17 12:51 PM
